Year,Price1,Hour_Sin,Hour_Cos,Month_Sin,Month_Cos,Gas_Price,,
2023,122.5,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.5,34.69,,
2023,122.5,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.5,36.23,,
2023,122.5,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.5,39.42,,
2023,122.5,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.5,50.65,,
2023,112.39,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.5,34.69,,
2023,112.39,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.5,36.23,,
2023,112.39,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.5,39.42,,
2023,112.39,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.5,50.65,,
2023,117.6,0.7071067811865475,0.7071067811865476,0.8660254037844387,-0.5,34.69,,
2023,117.6,0.7071067811865475,0.7071067811865476,0.8660254037844387,-0.5,36.23,,
2023,117.6,0.7071067811865475,0.7071067811865476,0.8660254037844387,-0.5,39.42,,
2023,117.6,0.7071067811865475,0.7071067811865476,0.8660254037844387,-0.5,50.65,,
2023,119.84,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.5,34.69,,
2023,119.84,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.5,36.23,,
2023,119.84,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.5,39.42,,
2023,119.84,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.5,50.65,,
2023,115.01,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.5,34.69,,
2023,115.01,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.5,36.23,,
2023,115.01,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.5,39.42,,
2023,115.01,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.5,50.65,,
2023,115,1,6.123233995736766e-17,0.8660254037844387,-0.5,34.69,,
2023,115,1,6.123233995736766e-17,0.8660254037844387,-0.5,36.23,,
2023,115,1,6.123233995736766e-17,0.8660254037844387,-0.5,39.42,,
2023,115,1,6.123233995736766e-17,0.8660254037844387,-0.5,50.65,,
2023,127.5,0.9659258262890683,-0.258819045,0.8660254037844387,-0.5,34.69,,
2023,127.5,0.9659258262890683,-0.258819045,0.8660254037844387,-0.5,36.23,,
2023,127.5,0.9659258262890683,-0.258819045,0.8660254037844387,-0.5,39.42,,
2023,127.5,0.9659258262890683,-0.258819045,0.8660254037844387,-0.5,50.65,,
2023,141.54,0.8660254037844387,-0.5,0.8660254037844387,-0.5,34.69,,
2023,141.54,0.8660254037844387,-0.5,0.8660254037844387,-0.5,36.23,,
2023,141.54,0.8660254037844387,-0.5,0.8660254037844387,-0.5,39.42,,
2023,141.54,0.8660254037844387,-0.5,0.8660254037844387,-0.5,50.65,,
2023,145.99,0.7071067811865476,-0.707106781,0.8660254037844387,-0.5,34.69,,
2023,145.99,0.7071067811865476,-0.707106781,0.8660254037844387,-0.5,36.23,,
2023,145.99,0.7071067811865476,-0.707106781,0.8660254037844387,-0.5,39.42,,
2023,145.99,0.7071067811865476,-0.707106781,0.8660254037844387,-0.5,50.65,,
2023,120.18,0.49999999999999994,-0.866025404,0.8660254037844387,-0.5,34.69,,
2023,120.18,0.49999999999999994,-0.866025404,0.8660254037844387,-0.5,36.23,,
2023,120.18,0.49999999999999994,-0.866025404,0.8660254037844387,-0.5,39.42,,
2023,120.18,0.49999999999999994,-0.866025404,0.8660254037844387,-0.5,50.65,,
2023,128.13,0.258819045,-0.965925826,0.8660254037844387,-0.5,34.69,,
2023,128.13,0.258819045,-0.965925826,0.8660254037844387,-0.5,36.23,,
2023,128.13,0.258819045,-0.965925826,0.8660254037844387,-0.5,39.42,,
2023,128.13,0.258819045,-0.965925826,0.8660254037844387,-0.5,50.65,,
2023,109.29,1.2246467991473532e-16,-1,0.8660254037844387,-0.5,34.69,,
2023,109.29,1.2246467991473532e-16,-1,0.8660254037844387,-0.5,36.23,,
2023,109.29,1.2246467991473532e-16,-1,0.8660254037844387,-0.5,39.42,,
2023,109.29,1.2246467991473532e-16,-1,0.8660254037844387,-0.5,50.65,,
2023,95.49,-0.258819045,-0.965925826,0.8660254037844387,-0.5,34.69,,
2023,95.49,-0.258819045,-0.965925826,0.8660254037844387,-0.5,36.23,,
2023,95.49,-0.258819045,-0.965925826,0.8660254037844387,-0.5,39.42,,
2023,95.49,-0.258819045,-0.965925826,0.8660254037844387,-0.5,50.65,,
2023,55.44,-0.5,-0.866025404,0.8660254037844387,-0.5,34.69,,
2023,55.44,-0.5,-0.866025404,0.8660254037844387,-0.5,36.23,,
2023,55.44,-0.5,-0.866025404,0.8660254037844387,-0.5,39.42,,
2023,55.44,-0.5,-0.866025404,0.8660254037844387,-0.5,50.65,,
2023,40.1,-0.707106781,-0.707106781,0.8660254037844387,-0.5,34.69,,
2023,40.1,-0.707106781,-0.707106781,0.8660254037844387,-0.5,36.23,,
2023,40.1,-0.707106781,-0.707106781,0.8660254037844387,-0.5,39.42,,
2023,40.1,-0.707106781,-0.707106781,0.8660254037844387,-0.5,50.65,,
2023,29.11,-0.866025404,-0.5,0.8660254037844387,-0.5,34.69,,
2023,29.11,-0.866025404,-0.5,0.8660254037844387,-0.5,36.23,,
2023,29.11,-0.866025404,-0.5,0.8660254037844387,-0.5,39.42,,
2023,29.11,-0.866025404,-0.5,0.8660254037844387,-0.5,50.65,,
2023,25,-0.965925826,-0.258819045,0.8660254037844387,-0.5,34.69,,
