Year,Month,Day,Hour,Price1,Hour_Sin,Hour_Cos
2023,4.0,21.0,1.0,122.5,0.25881904510252074,0.9659258262890683
2023,4.0,21.0,2.0,112.39,0.49999999999999994,0.8660254037844387
2023,4.0,21.0,3.0,117.6,0.7071067811865475,0.7071067811865476
2023,4.0,21.0,4.0,119.84,0.8660254037844386,0.5000000000000001
2023,4.0,21.0,5.0,115.01,0.9659258262890683,0.25881904510252074
2023,4.0,21.0,6.0,115.0,1.0,6.123233995736766e-17
2023,4.0,21.0,7.0,127.5,0.9659258262890683,-0.25881904510252063
2023,4.0,21.0,8.0,141.54,0.8660254037844387,-0.4999999999999998
2023,4.0,21.0,9.0,145.99,0.7071067811865476,-0.7071067811865475
2023,4.0,21.0,10.0,120.18,0.49999999999999994,-0.8660254037844387
2023,4.0,21.0,11.0,128.13,0.258819045102521,-0.9659258262890682
2023,4.0,21.0,12.0,109.29,1.2246467991473532e-16,-1.0
2023,4.0,21.0,13.0,95.49,-0.2588190451025208,-0.9659258262890683
2023,4.0,21.0,14.0,55.44,-0.4999999999999997,-0.8660254037844388
2023,4.0,21.0,15.0,40.1,-0.7071067811865471,-0.7071067811865479
2023,4.0,21.0,16.0,29.11,-0.8660254037844384,-0.5000000000000004
2023,4.0,21.0,17.0,25.0,-0.9659258262890683,-0.25881904510252063
2023,4.0,21.0,18.0,29.61,-1.0,-1.8369701987210297e-16
2023,4.0,21.0,19.0,49.31,-0.9659258262890684,0.2588190451025203
2023,4.0,21.0,20.0,95.49,-0.8660254037844386,0.5000000000000001
2023,4.0,21.0,21.0,134.71,-0.7071067811865477,0.7071067811865474
2023,4.0,21.0,22.0,135.51,-0.5000000000000004,0.8660254037844384
2023,4.0,21.0,23.0,133.71,-0.25881904510252157,0.9659258262890681
2023,4.0,21.0,24.0,123.1,-2.4492935982947064e-16,1.0
2023,3.0,7.0,1.0,138.1,0.25881904510252074,0.9659258262890683
2023,3.0,7.0,2.0,133.0,0.49999999999999994,0.8660254037844387
2023,3.0,7.0,3.0,128.35,0.7071067811865475,0.7071067811865476
2023,3.0,7.0,4.0,117.55,0.8660254037844386,0.5000000000000001
2023,3.0,7.0,5.0,107.8,0.9659258262890683,0.25881904510252074
2023,3.0,7.0,6.0,107.8,1.0,6.123233995736766e-17
2023,3.0,7.0,7.0,115.0,0.9659258262890683,-0.25881904510252063
2023,3.0,7.0,8.0,140.27,0.8660254037844387,-0.4999999999999998
2023,3.0,7.0,9.0,140.3,0.7071067811865476,-0.7071067811865475
2023,3.0,7.0,10.0,137.88,0.49999999999999994,-0.8660254037844387
2023,3.0,7.0,11.0,118.58,0.258819045102521,-0.9659258262890682
2023,3.0,7.0,12.0,107.9,1.2246467991473532e-16,-1.0
2023,3.0,7.0,13.0,107.0,-0.2588190451025208,-0.9659258262890683
2023,3.0,7.0,14.0,100.1,-0.4999999999999997,-0.8660254037844388
2023,3.0,7.0,15.0,94.9,-0.7071067811865471,-0.7071067811865479
2023,3.0,7.0,16.0,93.6,-0.8660254037844384,-0.5000000000000004
2023,3.0,7.0,17.0,95.1,-0.9659258262890683,-0.25881904510252063
2023,3.0,7.0,18.0,106.8,-1.0,-1.8369701987210297e-16
2023,3.0,7.0,19.0,117.65,-0.9659258262890684,0.2588190451025203
2023,3.0,7.0,20.0,141.3,-0.8660254037844386,0.5000000000000001
2023,3.0,7.0,21.0,152.1,-0.7071067811865477,0.7071067811865474
2023,3.0,7.0,22.0,145.78,-0.5000000000000004,0.8660254037844384
2023,3.0,7.0,23.0,139.82,-0.25881904510252157,0.9659258262890681
2023,3.0,7.0,24.0,117.0,-2.4492935982947064e-16,1.0
2023,6.0,10.0,1.0,91.99,0.25881904510252074,0.9659258262890683
2023,6.0,10.0,2.0,90.03,0.49999999999999994,0.8660254037844387
2023,6.0,10.0,3.0,89.06,0.7071067811865475,0.7071067811865476
2023,6.0,10.0,4.0,89.06,0.8660254037844386,0.5000000000000001
2023,6.0,10.0,5.0,89.36,0.9659258262890683,0.25881904510252074
2023,6.0,10.0,6.0,91.31,1.0,6.123233995736766e-17
2023,6.0,10.0,7.0,91.99,0.9659258262890683,-0.25881904510252063
2023,6.0,10.0,8.0,90.03,0.8660254037844387,-0.4999999999999998
2023,6.0,10.0,9.0,90.0,0.7071067811865476,-0.7071067811865475
2023,6.0,10.0,10.0,81.0,0.49999999999999994,-0.8660254037844387
2023,6.0,10.0,11.0,68.0,0.258819045102521,-0.9659258262890682
2023,6.0,10.0,12.0,66.4,1.2246467991473532e-16,-1.0
2023,6.0,10.0,13.0,63.12,-0.2588190451025208,-0.9659258262890683
2023,6.0,10.0,14.0,66.4,-0.4999999999999997,-0.8660254037844388
2023,6.0,10.0,15.0,66.4,-0.7071067811865471,-0.7071067811865479
2023,6.0,10.0,16.0,57.12,-0.8660254037844384,-0.5000000000000004
2023,6.0,10.0,17.0,57.12,-0.9659258262890683,-0.25881904510252063
2023,6.0,10.0,18.0,60.0,-1.0,-1.8369701987210297e-16
2023,6.0,10.0,19.0,74.97,-0.9659258262890684,0.2588190451025203
2023,6.0,10.0,20.0,86.16,-0.8660254037844386,0.5000000000000001
2023,6.0,10.0,21.0,95.0,-0.7071067811865477,0.7071067811865474
2023,6.0,10.0,22.0,110.0,-0.5000000000000004,0.8660254037844384
2023,6.0,10.0,23.0,111.81,-0.25881904510252157,0.9659258262890681
2023,6.0,10.0,24.0,103.64,-2.4492935982947064e-16,1.0
2023,12.0,24.0,1.0,72.55,0.25881904510252074,0.9659258262890683
2023,12.0,24.0,2.0,69.5,0.49999999999999994,0.8660254037844387
2023,12.0,24.0,3.0,66.34,0.7071067811865475,0.7071067811865476
2023,12.0,24.0,4.0,60.0,0.8660254037844386,0.5000000000000001
2023,12.0,24.0,5.0,61.16,0.9659258262890683,0.25881904510252074
2023,12.0,24.0,6.0,60.0,1.0,6.123233995736766e-17
2023,12.0,24.0,7.0,57.0,0.9659258262890683,-0.25881904510252063
2023,12.0,24.0,8.0,66.34,0.8660254037844387,-0.4999999999999998
2023,12.0,24.0,9.0,70.0,0.7071067811865476,-0.7071067811865475
2023,12.0,24.0,10.0,70.5,0.49999999999999994,-0.8660254037844387
2023,12.0,24.0,11.0,59.52,0.258819045102521,-0.9659258262890682
2023,12.0,24.0,12.0,47.86,1.2246467991473532e-16,-1.0
2023,12.0,24.0,13.0,47.6,-0.2588190451025208,-0.9659258262890683
2023,12.0,24.0,14.0,48.99,-0.4999999999999997,-0.8660254037844388
2023,12.0,24.0,15.0,47.6,-0.7071067811865471,-0.7071067811865479
2023,12.0,24.0,16.0,46.99,-0.8660254037844384,-0.5000000000000004
2023,12.0,24.0,17.0,68.45,-0.9659258262890683,-0.25881904510252063
2023,12.0,24.0,18.0,77.57,-1.0,-1.8369701987210297e-16
2023,12.0,24.0,19.0,101.55,-0.9659258262890684,0.2588190451025203
2023,12.0,24.0,20.0,109.3,-0.8660254037844386,0.5000000000000001
2023,12.0,24.0,21.0,109.3,-0.7071067811865477,0.7071067811865474
2023,12.0,24.0,22.0,92.85,-0.5000000000000004,0.8660254037844384
2023,12.0,24.0,23.0,76.93,-0.25881904510252157,0.9659258262890681
2023,12.0,24.0,24.0,72.23,-2.4492935982947064e-16,1.0
2023,2.0,28.0,1.0,134.0,0.25881904510252074,0.9659258262890683
2023,2.0,28.0,2.0,133.0,0.49999999999999994,0.8660254037844387
2023,2.0,28.0,3.0,109.0,0.7071067811865475,0.7071067811865476
2023,2.0,28.0,4.0,107.9,0.8660254037844386,0.5000000000000001
2023,2.0,28.0,5.0,107.7,0.9659258262890683,0.25881904510252074
2023,2.0,28.0,6.0,109.99,1.0,6.123233995736766e-17
2023,2.0,28.0,7.0,143.72,0.9659258262890683,-0.25881904510252063
2023,2.0,28.0,8.0,153.42,0.8660254037844387,-0.4999999999999998
2023,2.0,28.0,9.0,156.08,0.7071067811865476,-0.7071067811865475
2023,2.0,28.0,10.0,149.9,0.49999999999999994,-0.8660254037844387
2023,2.0,28.0,11.0,134.4,0.258819045102521,-0.9659258262890682
2023,2.0,28.0,12.0,107.5,1.2246467991473532e-16,-1.0
2023,2.0,28.0,13.0,106.37,-0.2588190451025208,-0.9659258262890683
2023,2.0,28.0,14.0,106.37,-0.4999999999999997,-0.8660254037844388
2023,2.0,28.0,15.0,104.8,-0.7071067811865471,-0.7071067811865479
2023,2.0,28.0,16.0,105.0,-0.8660254037844384,-0.5000000000000004
2023,2.0,28.0,17.0,107.1,-0.9659258262890683,-0.25881904510252063
2023,2.0,28.0,18.0,133.0,-1.0,-1.8369701987210297e-16
2023,2.0,28.0,19.0,153.42,-0.9659258262890684,0.2588190451025203
2023,2.0,28.0,20.0,170.0,-0.8660254037844386,0.5000000000000001
2023,2.0,28.0,21.0,176.17,-0.7071067811865477,0.7071067811865474
2023,2.0,28.0,22.0,165.01,-0.5000000000000004,0.8660254037844384
2023,2.0,28.0,23.0,158.41,-0.25881904510252157,0.9659258262890681
2023,2.0,28.0,24.0,152.09,-2.4492935982947064e-16,1.0
2023,4.0,20.0,1.0,126.0,0.25881904510252074,0.9659258262890683
2023,4.0,20.0,2.0,122.03,0.49999999999999994,0.8660254037844387
2023,4.0,20.0,3.0,123.61,0.7071067811865475,0.7071067811865476
2023,4.0,20.0,4.0,123.89,0.8660254037844386,0.5000000000000001
2023,4.0,20.0,5.0,125.33,0.9659258262890683,0.25881904510252074
2023,4.0,20.0,6.0,127.22,1.0,6.123233995736766e-17
2023,4.0,20.0,7.0,127.97,0.9659258262890683,-0.25881904510252063
2023,4.0,20.0,8.0,144.48,0.8660254037844387,-0.4999999999999998
2023,4.0,20.0,9.0,144.7,0.7071067811865476,-0.7071067811865475
