Price1,Day_Sin,Day_Cos,Month_Sin,Month_Cos,Year
122.5,-0.8978045395707417,-0.44039415155763423,0.8660254037844387,-0.4999999999999998,2023
112.39,-0.8978045395707417,-0.44039415155763423,0.8660254037844387,-0.4999999999999998,2023
117.6,-0.8978045395707417,-0.44039415155763423,0.8660254037844387,-0.4999999999999998,2023
119.84,-0.8978045395707417,-0.44039415155763423,0.8660254037844387,-0.4999999999999998,2023
115.01,-0.8978045395707417,-0.44039415155763423,0.8660254037844387,-0.4999999999999998,2023
115.0,-0.8978045395707417,-0.44039415155763423,0.8660254037844387,-0.4999999999999998,2023
127.5,-0.8978045395707417,-0.44039415155763423,0.8660254037844387,-0.4999999999999998,2023
141.54,-0.8978045395707417,-0.44039415155763423,0.8660254037844387,-0.4999999999999998,2023
145.99,-0.8978045395707417,-0.44039415155763423,0.8660254037844387,-0.4999999999999998,2023
120.18,-0.8978045395707417,-0.44039415155763423,0.8660254037844387,-0.4999999999999998,2023
128.13,-0.8978045395707417,-0.44039415155763423,0.8660254037844387,-0.4999999999999998,2023
109.29,-0.8978045395707417,-0.44039415155763423,0.8660254037844387,-0.4999999999999998,2023
95.49,-0.8978045395707417,-0.44039415155763423,0.8660254037844387,-0.4999999999999998,2023
55.44,-0.8978045395707417,-0.44039415155763423,0.8660254037844387,-0.4999999999999998,2023
40.1,-0.8978045395707417,-0.44039415155763423,0.8660254037844387,-0.4999999999999998,2023
29.11,-0.8978045395707417,-0.44039415155763423,0.8660254037844387,-0.4999999999999998,2023
25.0,-0.8978045395707417,-0.44039415155763423,0.8660254037844387,-0.4999999999999998,2023
29.61,-0.8978045395707417,-0.44039415155763423,0.8660254037844387,-0.4999999999999998,2023
49.31,-0.8978045395707417,-0.44039415155763423,0.8660254037844387,-0.4999999999999998,2023
95.49,-0.8978045395707417,-0.44039415155763423,0.8660254037844387,-0.4999999999999998,2023
134.71,-0.8978045395707417,-0.44039415155763423,0.8660254037844387,-0.4999999999999998,2023
135.51,-0.8978045395707417,-0.44039415155763423,0.8660254037844387,-0.4999999999999998,2023
133.71,-0.8978045395707417,-0.44039415155763423,0.8660254037844387,-0.4999999999999998,2023
123.1,-0.8978045395707417,-0.44039415155763423,0.8660254037844387,-0.4999999999999998,2023
138.1,0.9884683243281114,0.1514277775045767,1.0,6.123233995736766e-17,2023
133.0,0.9884683243281114,0.1514277775045767,1.0,6.123233995736766e-17,2023
128.35,0.9884683243281114,0.1514277775045767,1.0,6.123233995736766e-17,2023
117.55,0.9884683243281114,0.1514277775045767,1.0,6.123233995736766e-17,2023
107.8,0.9884683243281114,0.1514277775045767,1.0,6.123233995736766e-17,2023
107.8,0.9884683243281114,0.1514277775045767,1.0,6.123233995736766e-17,2023
115.0,0.9884683243281114,0.1514277775045767,1.0,6.123233995736766e-17,2023
140.27,0.9884683243281114,0.1514277775045767,1.0,6.123233995736766e-17,2023
140.3,0.9884683243281114,0.1514277775045767,1.0,6.123233995736766e-17,2023
137.88,0.9884683243281114,0.1514277775045767,1.0,6.123233995736766e-17,2023
118.58,0.9884683243281114,0.1514277775045767,1.0,6.123233995736766e-17,2023
107.9,0.9884683243281114,0.1514277775045767,1.0,6.123233995736766e-17,2023
107.0,0.9884683243281114,0.1514277775045767,1.0,6.123233995736766e-17,2023
100.1,0.9884683243281114,0.1514277775045767,1.0,6.123233995736766e-17,2023
94.9,0.9884683243281114,0.1514277775045767,1.0,6.123233995736766e-17,2023
93.6,0.9884683243281114,0.1514277775045767,1.0,6.123233995736766e-17,2023
95.1,0.9884683243281114,0.1514277775045767,1.0,6.123233995736766e-17,2023
106.8,0.9884683243281114,0.1514277775045767,1.0,6.123233995736766e-17,2023
117.65,0.9884683243281114,0.1514277775045767,1.0,6.123233995736766e-17,2023
141.3,0.9884683243281114,0.1514277775045767,1.0,6.123233995736766e-17,2023
152.1,0.9884683243281114,0.1514277775045767,1.0,6.123233995736766e-17,2023
145.78,0.9884683243281114,0.1514277775045767,1.0,6.123233995736766e-17,2023
139.82,0.9884683243281114,0.1514277775045767,1.0,6.123233995736766e-17,2023
117.0,0.9884683243281114,0.1514277775045767,1.0,6.123233995736766e-17,2023
91.99,0.8978045395707416,-0.4403941515576344,1.2246467991473532e-16,-1.0,2023
90.03,0.8978045395707416,-0.4403941515576344,1.2246467991473532e-16,-1.0,2023
89.06,0.8978045395707416,-0.4403941515576344,1.2246467991473532e-16,-1.0,2023
89.06,0.8978045395707416,-0.4403941515576344,1.2246467991473532e-16,-1.0,2023
89.36,0.8978045395707416,-0.4403941515576344,1.2246467991473532e-16,-1.0,2023
91.31,0.8978045395707416,-0.4403941515576344,1.2246467991473532e-16,-1.0,2023
91.99,0.8978045395707416,-0.4403941515576344,1.2246467991473532e-16,-1.0,2023
90.03,0.8978045395707416,-0.4403941515576344,1.2246467991473532e-16,-1.0,2023
90.0,0.8978045395707416,-0.4403941515576344,1.2246467991473532e-16,-1.0,2023
81.0,0.8978045395707416,-0.4403941515576344,1.2246467991473532e-16,-1.0,2023
68.0,0.8978045395707416,-0.4403941515576344,1.2246467991473532e-16,-1.0,2023
66.4,0.8978045395707416,-0.4403941515576344,1.2246467991473532e-16,-1.0,2023
63.12,0.8978045395707416,-0.4403941515576344,1.2246467991473532e-16,-1.0,2023
66.4,0.8978045395707416,-0.4403941515576344,1.2246467991473532e-16,-1.0,2023
66.4,0.8978045395707416,-0.4403941515576344,1.2246467991473532e-16,-1.0,2023
57.12,0.8978045395707416,-0.4403941515576344,1.2246467991473532e-16,-1.0,2023
