valid_time,Andalusia (Wind)_latitude,Andalusia (Wind)_longitude,Andalusia (Wind)_temperature,Andalusia (Wind)_solar_radiation,Andalusia (Wind)_wind_u_component,Andalusia (Wind)_wind_v_component,Andalusia (Wind)_surface_pressure,Andalusia (Wind)_total_precipitation,Aragon (Wind)_latitude,Aragon (Wind)_longitude,Aragon (Wind)_temperature,Aragon (Wind)_solar_radiation,Aragon (Wind)_wind_u_component,Aragon (Wind)_wind_v_component,Aragon (Wind)_surface_pressure,Aragon (Wind)_total_precipitation,Barcelona_latitude,Barcelona_longitude,Barcelona_temperature,Barcelona_solar_radiation,Barcelona_wind_u_component,Barcelona_wind_v_component,Barcelona_surface_pressure,Barcelona_total_precipitation,Bilbao_latitude,Bilbao_longitude,Bilbao_temperature,Bilbao_solar_radiation,Bilbao_wind_u_component,Bilbao_wind_v_component,Bilbao_surface_pressure,Bilbao_total_precipitation,Castile-La Mancha (Wind)_latitude,Castile-La Mancha (Wind)_longitude,Castile-La Mancha (Wind)_temperature,Castile-La Mancha (Wind)_solar_radiation,Castile-La Mancha (Wind)_wind_u_component,Castile-La Mancha (Wind)_wind_v_component,Castile-La Mancha (Wind)_surface_pressure,Castile-La Mancha (Wind)_total_precipitation,Escatrón-Chiprana-Samper (Solar)_latitude,Escatrón-Chiprana-Samper (Solar)_longitude,Escatrón-Chiprana-Samper (Solar)_temperature,Escatrón-Chiprana-Samper (Solar)_solar_radiation,Escatrón-Chiprana-Samper (Solar)_wind_u_component,Escatrón-Chiprana-Samper (Solar)_wind_v_component,Escatrón-Chiprana-Samper (Solar)_surface_pressure,Escatrón-Chiprana-Samper (Solar)_total_precipitation,Madrid_latitude,Madrid_longitude,Madrid_temperature,Madrid_solar_radiation,Madrid_wind_u_component,Madrid_wind_v_component,Madrid_surface_pressure,Madrid_total_precipitation,Seville_latitude,Seville_longitude,Seville_temperature,Seville_solar_radiation,Seville_wind_u_component,Seville_wind_v_component,Seville_surface_pressure,Seville_total_precipitation,Talasol Solar (Solar)_latitude,Talasol Solar (Solar)_longitude,Talasol Solar (Solar)_temperature,Talasol Solar (Solar)_solar_radiation,Talasol Solar (Solar)_wind_u_component,Talasol Solar (Solar)_wind_v_component,Talasol Solar (Solar)_surface_pressure,Talasol Solar (Solar)_total_precipitation,Talayuela Solar (Solar)_latitude,Talayuela Solar (Solar)_longitude,Talayuela Solar (Solar)_temperature,Talayuela Solar (Solar)_solar_radiation,Talayuela Solar (Solar)_wind_u_component,Talayuela Solar (Solar)_wind_v_component,Talayuela Solar (Solar)_surface_pressure,Talayuela Solar (Solar)_total_precipitation,Valencia_latitude,Valencia_longitude,Valencia_temperature,Valencia_solar_radiation,Valencia_wind_u_component,Valencia_wind_v_component,Valencia_surface_pressure,Valencia_total_precipitation
2022-12-31T03:00:00,37.388666666666666,-5.982499999999999,,,,,,,41.64866666666667,-0.8895,,,,,,,41.385666666666665,2.1734999999999998,,,,,,,43.263,-2.934,,,,,,,39.89566666666667,-3.0404999999999998,,,,,,,41.38466666666667,-0.3745,,,,,,,40.416666666666664,-3.7024999999999997,,,,,,,37.38966666666667,-5.984500000000001,,,,,,,39.72966666666667,-6.3395,,,,,,,39.98666666666667,-5.9815000000000005,,,,,,,39.46966666666666,-0.37649999999999995,,,,,,
2022-12-31T06:00:00,37.388666666666666,-5.982499999999999,,,,,,,41.64866666666667,-0.8895,,,,,,,41.385666666666665,2.1734999999999998,,,,,,,43.263,-2.934,,,,,,,39.89566666666667,-3.0404999999999998,,,,,,,41.38466666666667,-0.3745,,,,,,,40.416666666666664,-3.7024999999999997,,,,,,,37.38966666666667,-5.984500000000001,,,,,,,39.72966666666667,-6.3395,,,,,,,39.98666666666667,-5.9815000000000005,,,,,,,39.46966666666666,-0.37649999999999995,,,,,,
2022-12-31T09:00:00,37.388666666666666,-5.982499999999999,,,,,,,41.64866666666667,-0.8895,,,,,,,41.385666666666665,2.1734999999999998,,,,,,,43.263,-2.934,,,,,,,39.89566666666667,-3.0404999999999998,,,,,,,41.38466666666667,-0.3745,,,,,,,40.416666666666664,-3.7024999999999997,,,,,,,37.38966666666667,-5.984500000000001,,,,,,,39.72966666666667,-6.3395,,,,,,,39.98666666666667,-5.9815000000000005,,,,,,,39.46966666666666,-0.37649999999999995,,,,,,
2022-12-31T12:00:00,37.388666666666666,-5.982499999999999,,,,,,,41.64866666666667,-0.8895,,,,,,,41.385666666666665,2.1734999999999998,,,,,,,43.263,-2.934,,,,,,,39.89566666666667,-3.0404999999999998,,,,,,,41.38466666666667,-0.3745,,,,,,,40.416666666666664,-3.7024999999999997,,,,,,,37.38966666666667,-5.984500000000001,,,,,,,39.72966666666667,-6.3395,,,,,,,39.98666666666667,-5.9815000000000005,,,,,,,39.46966666666666,-0.37649999999999995,,,,,,
2022-12-31T15:00:00,37.388666666666666,-5.982499999999999,,,,,,,41.64866666666667,-0.8895,,,,,,,41.385666666666665,2.1734999999999998,,,,,,,43.263,-2.934,,,,,,,39.89566666666667,-3.0404999999999998,,,,,,,41.38466666666667,-0.3745,,,,,,,40.416666666666664,-3.7024999999999997,,,,,,,37.38966666666667,-5.984500000000001,,,,,,,39.72966666666667,-6.3395,,,,,,,39.98666666666667,-5.9815000000000005,,,,,,,39.46966666666666,-0.37649999999999995,,,,,,
2022-12-31T18:00:00,37.388666666666666,-5.982499999999999,,,,,,,41.64866666666667,-0.8895,,,,,,,41.385666666666665,2.1734999999999998,,,,,,,43.263,-2.934,,,,,,,39.89566666666667,-3.0404999999999998,,,,,,,41.38466666666667,-0.3745,,,,,,,40.416666666666664,-3.7024999999999997,,,,,,,37.38966666666667,-5.984500000000001,,,,,,,39.72966666666667,-6.3395,,,,,,,39.98666666666667,-5.9815000000000005,,,,,,,39.46966666666666,-0.37649999999999995,,,,,,
2022-12-31T21:00:00,37.388666666666666,-5.982499999999999,,,,,,,41.64866666666667,-0.8895,,,,,,,41.385666666666665,2.1734999999999998,,,,,,,43.263,-2.934,,,,,,,39.89566666666667,-3.0404999999999998,,,,,,,41.38466666666667,-0.3745,,,,,,,40.416666666666664,-3.7024999999999997,,,,,,,37.38966666666667,-5.984500000000001,,,,,,,39.72966666666667,-6.3395,,,,,,,39.98666666666667,-5.9815000000000005,,,,,,,39.46966666666666,-0.37649999999999995,,,,,,
2023-01-01T00:00:00,37.388666666666666,-5.982499999999999,281.5070488888889,8659220.0,-1.3744669,-1.3746616555555555,101811.0,1.7106531999999998e-06,41.64866666666667,-0.8895,280.0635633333334,6798667.444444444,-1.1976346022222222,1.4808383633333333,98429.41611111112,1.7106531999999998e-06,41.385666666666665,2.1734999999999998,281.922998,7148031.5,1.84274998,-0.9692487653999999,101006.802,1.7106530999999997e-06,43.263,-2.934,288.32831111111113,5177509.833333333,1.030124141111111,4.6852607666666675,99046.37444444446,1.7106531999999998e-06,39.89566666666667,-3.0404999999999998,279.0104011111111,7795367.111111111,-1.3973722444444443,2.2186904555555556,93635.83055555556,1.7106531999999998e-06,41.38466666666667,-0.3745,282.42637,6793807.888888889,-0.2060573528622222,0.2926798406666667,99137.90444444444,1.7106531999999998e-06,40.416666666666664,-3.7024999999999997,280.54438000000005,7726940.833333333,-1.1973411777777776,0.37999950233333335,94669.6038888889,2.5417513e-06,37.38966666666667,-5.984500000000001,281.51003888888886,8659116.777777778,-1.372931811111111,-1.3769212555555557,101811.21399999999,1.7106531999999998e-06,39.72966666666667,-6.3395,283.62574777777775,7166928.388888889,-1.2672551666666667,1.6830221888888888,98135.97733333333,3.202244211111111e-05,39.98666666666667,-5.9815000000000005,282.0340766666667,7503880.388888889,-1.5248493777777776,0.2596511193333334,97284.00666666667,5.797279344444444e-06,39.46966666666666,-0.37649999999999995,282.68431571428573,8013745.142857143,2.929873342857143,-0.7209472114285714,101565.4742857143,1.7106532e-06
2023-01-01T03:00:00,37.388666666666666,-5.982499999999999,280.5546766666667,0.0,-1.2762718333333332,-1.3408403333333334,101701.1162222222,0.0,41.64866666666667,-0.8895,278.92650555555554,0.0,-1.4753101000000002,1.4122233666666668,98373.40944444445,0.0,41.385666666666665,2.1734999999999998,280.574452,0.0,1.2770639400000001,-1.154032518,100973.164,0.0,43.263,-2.934,287.7135044444445,0.0,0.4660283133333333,4.4783242777777765,98972.32666666666,0.0,39.89566666666667,-3.0404999999999998,277.87956,0.0,-1.9191897666666666,1.5928269555555556,93537.13166666665,0.0,41.38466666666667,-0.3745,281.4234511111111,0.0,-0.5077363057777777,0.2708150123333333,99089.58222222222,0.0,40.416666666666664,-3.7024999999999997,277.71565666666663,0.0,-1.2396897122222221,-0.8357042729999999,94611.10833333334,0.0,37.38966666666667,-5.984500000000001,280.5550188888889,0.0,-1.2741883555555555,-1.3440177666666666,101701.33666666667,0.0,39.72966666666667,-6.3395,283.76761555555555,0.0,-1.693900011111111,1.5362243444444443,98022.14333333334,5.757842555555556e-05,39.98666666666667,-5.9815000000000005,282.5664844444445,0.0,-1.8010740222222223,0.3212851451111111,97175.45833333333,5.53072538e-06,39.46966666666666,-0.37649999999999995,282.5713014285714,0.0,2.9567988285714284,-0.7222948742857144,101457.47357142856,0.0
2023-01-01T06:00:00,37.388666666666666,-5.982499999999999,280.0663466666667,0.0,-1.506798522222222,-1.2448626666666667,101629.64888888889,0.0,41.64866666666667,-0.8895,278.07835,0.0,-1.3550413966666666,1.8192004111111113,98312.98611111111,0.0,41.385666666666665,2.1734999999999998,281.18794199999996,0.0,0.8490237159999999,-1.005513972,100948.919,0.0,43.263,-2.934,287.51237444444445,0.0,-0.13095874855555556,5.051156611111111,98824.37444444446,0.0,39.89566666666667,-3.0404999999999998,277.28780222222224,0.0,-2.156820377777778,1.2771875666666666,93453.44066666666,0.0,41.38466666666667,-0.3745,280.6456322222223,0.0,-0.17294136044444441,0.5232223399999999,99034.96944444446,0.0,40.416666666666664,-3.7024999999999997,276.32055,0.0,-1.0986261355555555,-1.1235956611111113,94526.23333333334,0.0,37.38966666666667,-5.984500000000001,280.0648422222222,0.0,-1.5056394888888889,-1.2468653888888888,101629.81555555557,0.0,39.72966666666667,-6.3395,282.90792,0.0,-2.085422844444444,1.4730560555555554,97937.95211111112,0.00047382173000000004,39.98666666666667,-5.9815000000000005,282.57213,0.0,-2.1350569222222227,0.5044725304444443,97099.16111111111,0.00013709648066666667,39.46966666666666,-0.37649999999999995,282.03140285714284,0.0,2.707425271428572,-0.6528322428571428,101393.32642857144,0.0
