OMIE - Mercado de electricidad;Fecha Emisión :27/09/2023 - 01:23;;26/09/2023;Precios Máximos, Mínimos y Medios ponderados del Mercado Continuo para cada una de las horas;;;;

Año;Mes;Día;Hora;MáximoES;MáximoPT;MáximoMO;MínimoES;MínimoPT;MínimoMO;MedioES;MedioPT;MedioMO;
2023;9;26;1;123,17;122,40;0;113,18;111,00;0;120,15;116,68;0;
2023;9;26;2;111,42;110,07;0;104,42;109,42;0;109,38;109,61;0;
2023;9;26;3;111,62;109,62;0;99,70;106,62;0;108,05;109,48;0;
2023;9;26;4;116,05;109,40;0;99,01;105,25;0;109,31;109,12;0;
2023;9;26;5;116,54;111,29;0;96,94;96,94;0;106,71;107,69;0;
2023;9;26;6;127,47;125,47;0;113,18;113,48;0;118,56;117,37;0;
2023;9;26;7;145,91;129,31;0;125,54;125,54;0;127,81;126,48;0;
2023;9;26;8;149,73;147,20;0;128,98;125,90;0;138,09;136,05;0;
2023;9;26;9;171,70;154,40;0;146,04;146,00;0;159,81;150,06;0;
2023;9;26;10;134,99;130,00;0;125,00;125,00;0;128,81;127,10;0;
2023;9;26;11;110,30;103,91;0;97,00;97,01;0;103,04;101,58;0;
2023;9;26;12;104,58;108,00;0;93,50;101,12;0;99,81;107,81;0;
2023;9;26;13;100,82;100,00;0;91,40;100,00;0;95,08;100,00;0;
2023;9;26;14;111,92;0;0;56,84;0;0;77,25;0;0;
2023;9;26;15;104,00;97,01;0;55,00;97,01;0;76,24;97,01;0;
2023;9;26;16;105,00;128,01;0;75,70;100,02;0;93,28;104,50;0;
2023;9;26;17;106,60;125,00;0;87,50;93,92;0;100,89;103,45;0;
2023;9;26;18;121,90;114,01;0;55,96;69,99;0;103,36;102,29;0;
2023;9;26;19;137,50;137,50;0;112,65;112,65;0;129,87;120,53;0;
2023;9;26;20;169,00;166,00;0;121,87;120,01;0;151,94;129,72;0;
2023;9;26;21;188,14;188,14;0;146,66;163,77;0;165,10;172,70;0;
2023;9;26;22;179,99;165,64;0;143,27;159,77;0;162,91;163,10;0;
2023;9;26;23;141,69;136,02;0;125,00;125,47;0;131,55;127,71;0;
2023;9;26;24;135,95;130,49;0;111,00;114,06;0;124,33;121,57;0;
;;;;;;;;;;;;;
