OMIE - Mercado de electricidad;Fecha Emisión :11/09/2023 - 05:41;;10/09/2023;Precios Máximos, Mínimos y Medios ponderados del Mercado Continuo para cada una de las horas;;;;

Año;Mes;Día;Hora;MáximoES;MáximoPT;MáximoMO;MínimoES;MínimoPT;MínimoMO;MedioES;MedioPT;MedioMO;
2023;9;10;1;131,06;131,06;0;120,35;120,35;0;126,04;122,41;0;
2023;9;10;2;128,26;111,03;0;110,43;110,43;0;119,56;110,77;0;
2023;9;10;3;130,77;130,70;0;109,52;109,52;0;120,43;119,70;0;
2023;9;10;4;113,00;113,00;0;96,40;96,40;0;105,67;105,01;0;
2023;9;10;5;110,05;105,65;0;87,17;104,00;0;102,11;104,89;0;
2023;9;10;6;101,60;100,99;0;85,55;85,55;0;96,11;99,54;0;
2023;9;10;7;116,74;111,73;0;97,00;105,84;0;106,37;106,84;0;
2023;9;10;8;112,86;107,34;0;90,65;105,84;0;98,66;106,63;0;
2023;9;10;9;118,00;108,60;0;90,00;107,00;0;100,79;107,60;0;
2023;9;10;10;99,97;85,55;0;85,00;85,10;0;91,88;85,33;0;
2023;9;10;11;83,61;79,32;0;58,00;79,32;0;75,67;79,32;0;
2023;9;10;12;79,00;74,60;0;18,32;74,15;0;59,51;74,44;0;
2023;9;10;13;90,50;99,22;0;14,11;99,22;0;51,01;99,22;0;
2023;9;10;14;90,50;99,67;0;5,38;99,22;0;56,49;99,39;0;
2023;9;10;15;76,81;99,52;0;-11,00;99,22;0;34,83;99,30;0;
2023;9;10;16;55,48;99,37;0;8,01;56,14;0;25,86;90,42;0;
2023;9;10;17;85,90;0;0;45,50;0;0;75,59;0;0;
2023;9;10;18;90,99;83,85;0;70,00;78,25;0;80,69;81,24;0;
2023;9;10;19;102,58;95,33;0;73,40;80,55;0;88,58;87,05;0;
2023;9;10;20;130,58;129,82;0;116,90;116,90;0;125,14;127,69;0;
2023;9;10;21;153,45;123,58;0;110,11;110,11;0;132,50;122,14;0;
2023;9;10;22;134,85;124,55;0;121,41;121,25;0;129,45;122,96;0;
2023;9;10;23;129,51;121,55;0;107,50;116,60;0;121,10;119,10;0;
2023;9;10;24;129,52;129,52;0;95,50;92,04;0;112,26;113,50;0;
;;;;;;;;;;;;;
