OMIE - Mercado de electricidad;Fecha Emisión :30/08/2023 - 03:26;;23/08/2023;Precios Máximos, Mínimos y Medios ponderados del Mercado Continuo para cada una de las horas;;;;

Año;Mes;Día;Hora;MáximoES;MáximoPT;MáximoMO;MínimoES;MínimoPT;MínimoMO;MedioES;MedioPT;MedioMO;
2023;8;23;1;148,71;144,80;0;115,01;144,00;0;137,87;144,27;0;
2023;8;23;2;146,00;139,00;0;110,10;121,00;0;133,27;129,98;0;
2023;8;23;3;135,51;130,97;0;105,06;119,76;0;123,43;128,67;0;
2023;8;23;4;138,00;138,00;0;104,33;113,56;0;121,73;125,91;0;
2023;8;23;5;168,15;168,15;0;110,12;110,12;0;123,76;135,77;0;
2023;8;23;6;145,00;145,00;0;113,56;113,56;0;123,80;133,23;0;
2023;8;23;7;156,83;150,33;0;117,11;117,11;0;143,37;125,26;0;
2023;8;23;8;169,49;169,99;0;142,60;152,79;0;153,04;168,02;0;
2023;8;23;9;165,00;164,97;0;140,73;156,41;0;152,62;162,60;0;
2023;8;23;10;142,40;134,98;0;110,91;118,10;0;132,31;119,72;0;
2023;8;23;11;122,50;119,75;0;107,10;119,71;0;113,92;119,73;0;
2023;8;23;12;121,33;112,60;0;104,51;108,01;0;110,68;109,08;0;
2023;8;23;13;116,48;113,56;0;103,99;104,75;0;109,81;108,85;0;
2023;8;23;14;126,97;113,56;0;96,88;107,60;0;110,30;109,16;0;
2023;8;23;15;119,00;114,98;0;94,33;94,33;0;111,64;107,46;0;
2023;8;23;16;117,85;116,30;0;97,00;108,62;0;110,47;109,99;0;
2023;8;23;17;121,11;117,09;0;98,76;102,69;0;113,33;106,92;0;
2023;8;23;18;135,41;134,51;0;89,00;96,84;0;108,13;106,79;0;
2023;8;23;19;140,42;137,33;0;87,76;88,55;0;104,89;104,17;0;
2023;8;23;20;168,51;168,51;0;150,00;152,79;0;156,10;166,97;0;
2023;8;23;21;169,33;168,08;0;137,25;137,31;0;161,83;161,56;0;
2023;8;23;22;188,99;187,50;0;169,00;169,00;0;178,50;178,78;0;
2023;8;23;23;171,26;170,01;0;133,00;135,24;0;153,15;147,28;0;
2023;8;23;24;160,55;160,55;0;136,01;143,06;0;145,24;149,72;0;
;;;;;;;;;;;;;
