OMIE - Mercado de electricidad;Fecha Emisión :02/07/2023 - 02:41;;01/07/2023;Precios Máximos, Mínimos y Medios ponderados del Mercado Continuo para cada una de las horas;;;;

Año;Mes;Día;Hora;MáximoES;MáximoPT;MáximoMO;MínimoES;MínimoPT;MínimoMO;MedioES;MedioPT;MedioMO;
2023;7;1;1;116,00;0;0;102,30;0;0;111,12;0;0;
2023;7;1;2;114,66;113,00;0;97,51;97,55;0;110,46;112,87;0;
2023;7;1;3;112,77;110,20;0;90,86;94,20;0;100,28;95,37;0;
2023;7;1;4;117,89;105,00;0;86,51;95,89;0;100,20;97,23;0;
2023;7;1;5;112,77;96,61;0;88,00;95,89;0;94,21;96,24;0;
2023;7;1;6;115,00;115,00;0;95,01;95,89;0;98,68;96,14;0;
2023;7;1;7;115,33;108,00;0;85,01;95,89;0;97,47;97,28;0;
2023;7;1;8;95,00;88,00;0;82,00;82,00;0;86,16;87,91;0;
2023;7;1;9;80,42;66,99;0;62,29;66,99;0;72,36;66,99;0;
2023;7;1;10;59,00;130,15;0;3,40;80,75;0;36,30;109,31;0;
2023;7;1;11;79,70;140,00;0;0;80,91;0;40,99;121,07;0;
2023;7;1;12;48,61;140,00;0;-10,00;100,00;0;26,68;125,09;0;
2023;7;1;13;54,40;128,31;0;8,00;100,00;0;21,16;108,03;0;
2023;7;1;14;54,43;128,31;0;4,95;100,00;0;12,36;108,03;0;
2023;7;1;15;20,00;0;0;-3,44;0;0;6,28;0;0;
2023;7;1;16;6,16;0;0;-3,50;0;0;2,44;0;0;
2023;7;1;17;38,50;0;0;-5,00;0;0;2,32;0;0;
2023;7;1;18;18,69;0;0;-12,15;0;0;0,42;0;0;
2023;7;1;19;23,61;0;0;3,00;0;0;16,14;0;0;
2023;7;1;20;73,87;0;0;12,00;0;0;52,54;0;0;
2023;7;1;21;127,99;127,99;0;52,00;75,77;0;83,50;79,12;0;
2023;7;1;22;130,56;98,99;0;98,99;98,99;0;119,22;98,99;0;
2023;7;1;23;131,82;131,78;0;99,02;99,20;0;120,85;122,34;0;
2023;7;1;24;131,22;131,22;0;99,00;99,15;0;115,43;115,03;0;
;;;;;;;;;;;;;
