OMIE - Mercado de electricidad;Fecha Emisión :14/02/2023 - 03:18;;13/02/2023;Precios Máximos, Mínimos y Medios ponderados del Mercado Continuo para cada una de las horas;;;;

Año;Mes;Día;Hora;MáximoES;MáximoPT;MáximoMO;MínimoES;MínimoPT;MínimoMO;MedioES;MedioPT;MedioMO;
2023;2;13;1;146,00;145,82;0;139,79;136,54;0;143,38;140,55;0;
2023;2;13;2;144,00;137,51;0;134,76;134,76;0;138,40;135,83;0;
2023;2;13;3;141,01;135,80;0;131,80;134,84;0;137,81;135,24;0;
2023;2;13;4;136,63;133,45;0;125,04;128,64;0;133,11;129,96;0;
2023;2;13;5;136,55;130,90;0;127,00;127,75;0;132,89;129,07;0;
2023;2;13;6;144,52;138,57;0;133,00;133,80;0;138,64;135,58;0;
2023;2;13;7;142,00;133,00;0;130,01;129,56;0;139,75;129,81;0;
2023;2;13;8;194,40;165,82;0;150,58;165,01;0;178,51;165,41;0;
2023;2;13;9;189,00;166,00;0;158,00;165,19;0;169,51;165,60;0;
2023;2;13;10;190,00;173,00;0;153,77;171,00;0;170,42;171,99;0;
2023;2;13;11;164,34;164,34;0;145,64;157,34;0;158,48;160,29;0;
2023;2;13;12;156,87;155,93;0;136,80;139,50;0;148,08;150,72;0;
2023;2;13;13;152,00;147,32;0;131,94;135,00;0;141,87;141,25;0;
2023;2;13;14;149,50;143,55;0;132,71;138,00;0;141,35;140,44;0;
2023;2;13;15;144,35;144,35;0;129,80;140,00;0;138,97;142,94;0;
2023;2;13;16;147,16;140,95;0;130,10;132,39;0;140,41;137,04;0;
2023;2;13;17;162,83;159,60;0;133,05;129,96;0;145,46;139,21;0;
2023;2;13;18;183,23;149,25;0;133,00;134,00;0;153,88;144,10;0;
2023;2;13;19;180,00;165,82;0;151,25;165,01;0;166,27;165,41;0;
2023;2;13;20;191,19;190,00;0;173,26;174,03;0;182,28;175,94;0;
2023;2;13;21;189,50;186,59;0;129,48;129,48;0;171,68;170,09;0;
2023;2;13;22;178,01;178,01;0;148,89;154,57;0;163,83;160,75;0;
2023;2;13;23;167,82;167,82;0;145,00;155,64;0;161,52;162,78;0;
2023;2;13;24;153,18;149,17;0;115,00;139,37;0;144,98;142,82;0;
;;;;;;;;;;;;;
