OMIE - Mercado de electricidad;Fecha Emisión :28/04/2023 - 11:14;;27/04/2023;Precios Máximos, Mínimos y Medios ponderados del Mercado Continuo para cada una de las horas;;;;

Año;Mes;Día;Hora;MáximoES;MáximoPT;MáximoMO;MínimoES;MínimoPT;MínimoMO;MedioES;MedioPT;MedioMO;
2023;4;27;1;117,22;0;0;103,24;0;0;109,76;0;0;
2023;4;27;2;109,72;99,00;0;94,29;98,81;0;98,58;98,97;0;
2023;4;27;3;105,00;98,46;0;90,40;98,46;0;96,58;98,46;0;
2023;4;27;4;104,00;94,65;0;93,40;94,60;0;97,90;94,64;0;
2023;4;27;5;109,00;96,90;0;90,90;96,80;0;94,01;96,83;0;
2023;4;27;6;108,89;104,90;0;96,20;104,90;0;99,99;104,90;0;
2023;4;27;7;127,39;124,00;0;96,00;89,55;0;119,27;122,42;0;
2023;4;27;8;145,54;0;0;118,40;0;0;137,45;0;0;
2023;4;27;9;139,41;138,32;0;120,00;135,40;0;131,69;136,43;0;
2023;4;27;10;116,00;115,92;0;99,11;113,22;0;106,44;114,64;0;
2023;4;27;11;97,55;99,09;0;87,76;86,80;0;93,85;90,70;0;
2023;4;27;12;99,99;94,00;0;79,10;88,78;0;88,06;89,50;0;
2023;4;27;13;94,00;125,66;0;79,00;79,27;0;86,69;88,25;0;
2023;4;27;14;104,00;93,40;0;76,10;79,91;0;85,59;85,32;0;
2023;4;27;15;92,90;125,66;0;70,48;79,99;0;83,27;120,31;0;
2023;4;27;16;97,26;125,66;0;60,00;125,55;0;81,85;125,60;0;
2023;4;27;17;91,00;125,55;0;70,00;125,55;0;80,28;125,55;0;
2023;4;27;18;99,70;79,99;0;79,66;79,66;0;89,59;79,87;0;
2023;4;27;19;100,19;88,15;0;77,46;77,46;0;86,71;79,16;0;
2023;4;27;20;127,31;105,62;0;87,79;87,79;0;105,84;88,84;0;
2023;4;27;21;153,30;132,95;0;117,30;117,81;0;127,81;129,14;0;
2023;4;27;22;138,61;138,00;0;116,66;132,02;0;125,47;134,88;0;
2023;4;27;23;133,81;133,83;0;108,79;122,50;0;116,20;128,91;0;
2023;4;27;24;125,46;123,79;0;90,00;96,99;0;102,71;102,99;0;
;;;;;;;;;;;;;
