OMIE - Mercado de electricidad;Fecha Emisión :18/05/2023 - 02:24;;17/05/2023;Precios Máximos, Mínimos y Medios ponderados del Mercado Continuo para cada una de las horas;;;;

Año;Mes;Día;Hora;MáximoES;MáximoPT;MáximoMO;MínimoES;MínimoPT;MínimoMO;MedioES;MedioPT;MedioMO;
2023;5;17;1;86,05;0;0;64,00;0;0;72,87;0;0;
2023;5;17;2;56,00;0;0;20,00;0;0;37,85;0;0;
2023;5;17;3;48,67;0;0;31,00;0;0;44,64;0;0;
2023;5;17;4;50,40;0;0;20,00;0;0;38,01;0;0;
2023;5;17;5;79,50;0;0;28,20;0;0;59,06;0;0;
2023;5;17;6;87,36;0;0;25,00;0;0;64,19;0;0;
2023;5;17;7;110,11;0;0;50,00;0;0;88,08;0;0;
2023;5;17;8;114,37;0;0;52,00;0;0;86,42;0;0;
2023;5;17;9;117,03;0;0;41,30;0;0;81,71;0;0;
2023;5;17;10;108,05;0;0;18,00;0;0;60,80;0;0;
2023;5;17;11;75,59;0;0;19,00;0;0;44,56;0;0;
2023;5;17;12;58,20;0;0;-49,70;0;0;42,52;0;0;
2023;5;17;13;57,39;40,00;0;18,00;40,00;0;33,80;40,00;0;
2023;5;17;14;40,51;0;0;13,25;0;0;30,66;0;0;
2023;5;17;15;32,04;0;0;10,00;0;0;22,04;0;0;
2023;5;17;16;26,36;0;0;-17,80;0;0;16,20;0;0;
2023;5;17;17;71,91;22,90;0;7,00;21,90;0;31,49;22,45;0;
2023;5;17;18;76,40;32,78;0;16,00;20,10;0;49,91;28,43;0;
2023;5;17;19;95,49;33,26;0;22,20;25,83;0;56,86;28,21;0;
2023;5;17;20;116,78;42,78;0;30,00;41,24;0;71,20;42,04;0;
2023;5;17;21;117,44;89,01;0;67,18;82,96;0;95,57;85,30;0;
2023;5;17;22;117,98;104,00;0;94,14;104,00;0;106,87;104,00;0;
2023;5;17;23;105,60;67,13;0;59,00;59,00;0;90,09;61,38;0;
2023;5;17;24;100,00;83,90;0;61,55;61,55;0;78,57;73,58;0;
;;;;;;;;;;;;;
