OMIE - Mercado de electricidad;Fecha Emisión :05/12/2023 - 02:26;;04/12/2023;Precios Máximos, Mínimos y Medios ponderados del Mercado Continuo para cada una de las horas;;;;

Año;Mes;Día;Hora;MáximoES;MáximoPT;MáximoMO;MínimoES;MínimoPT;MínimoMO;MedioES;MedioPT;MedioMO;
2023;12;4;1;69,90;51,41;0;20,00;22,63;0;44,55;39,43;0;
2023;12;4;2;69,29;52,40;0;20,00;25,98;0;43,15;46,23;0;
2023;12;4;3;52,58;49,80;0;20,00;42,00;0;43,34;45,69;0;
2023;12;4;4;51,52;51,37;0;20,00;20,05;0;41,97;41,97;0;
2023;12;4;5;48,99;46,79;0;10,00;42,10;0;39,12;46,58;0;
2023;12;4;6;53,00;53,00;0;10,00;48,31;0;41,23;52,80;0;
2023;12;4;7;66,55;66,55;0;50,00;50,00;0;58,91;54,27;0;
2023;12;4;8;93,08;84,82;0;70,00;70,00;0;84,92;82,63;0;
2023;12;4;9;95,00;87,71;0;84,80;87,70;0;90,17;87,70;0;
2023;12;4;10;94,19;93,27;0;73,57;73,57;0;87,62;81,43;0;
2023;12;4;11;91,99;91,99;0;70,00;70,00;0;80,88;73,43;0;
2023;12;4;12;121,50;77,94;0;26,51;26,51;0;71,88;44,66;0;
2023;12;4;13;117,00;80,70;0;44,54;51,67;0;78,53;66,08;0;
2023;12;4;14;119,10;84,79;0;52,50;61,00;0;78,09;72,38;0;
2023;12;4;15;120,00;89,04;0;53,50;58,85;0;79,46;73,60;0;
2023;12;4;16;116,05;89,70;0;50,00;50,00;0;84,04;76,10;0;
2023;12;4;17;123,04;98,00;0;72,02;73,10;0;91,05;83,27;0;
2023;12;4;18;126,55;105,49;0;89,99;91,28;0;103,36;102,12;0;
2023;12;4;19;135,09;132,98;0;101,08;101,08;0;122,32;119,11;0;
2023;12;4;20;145,00;131,01;0;113,01;120,00;0;130,90;123,60;0;
2023;12;4;21;127,50;116,00;0;110,00;111,00;0;116,93;114,34;0;
2023;12;4;22;117,00;111,41;0;100,50;103,95;0;107,15;107,83;0;
2023;12;4;23;105,00;101,00;0;94,90;98,89;0;101,72;100,21;0;
2023;12;4;24;100,20;95,99;0;75,00;89,02;0;92,93;92,15;0;
;;;;;;;;;;;;;
