Year,Month,Day,Hour,DA,ID,Price_EUR_MWh,Volume_MWh,Hour_Sin,Hour_Cos,Day_Sin,Day_Cos,Month_Sin,Month_Cos,Year_Scaled,Diff
2023.0,1.0,1.0,1.0,0.0,-0.72,,,0.25881904510252074,0.9659258262890683,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.6,0.72
2023.0,1.0,1.0,2.0,0.0,-0.45,,,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.6,0.45
2023.0,1.0,1.0,3.0,0.0,-0.95,,,0.7071067811865475,0.7071067811865476,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.6,0.95
2023.0,1.0,1.0,4.0,0.0,-3.34,,,0.8660254037844386,0.5000000000000001,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.6,3.34
2023.0,1.0,1.0,5.0,0.0,-2.87,,,0.9659258262890683,0.25881904510252074,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.6,2.87
2023.0,1.0,1.0,6.0,0.0,-3.27,,,1.0,6.123233995736766e-17,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.6,3.27
2023.0,1.0,1.0,7.0,0.0,-3.9,,,0.9659258262890683,-0.25881904510252063,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.6,3.9
2023.0,1.0,1.0,8.0,0.0,-3.2,,,0.8660254037844387,-0.4999999999999998,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.6,3.2
2023.0,1.0,1.0,9.0,0.0,-1.18,,,0.7071067811865476,-0.7071067811865475,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.6,1.18
2023.0,1.0,1.0,10.0,0.0,-2.45,,,0.49999999999999994,-0.8660254037844387,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.6,2.45
2023.0,1.0,1.0,11.0,0.0,-2.74,,,0.258819045102521,-0.9659258262890682,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.6,2.74
2023.0,1.0,1.0,12.0,0.0,-2.48,,,1.2246467991473532e-16,-1.0,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.6,2.48
2023.0,1.0,1.0,13.0,0.0,-5.37,,,-0.2588190451025208,-0.9659258262890683,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.6,5.37
2023.0,1.0,1.0,14.0,0.1,-9.88,,,-0.4999999999999997,-0.8660254037844388,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.6,9.98
2023.0,1.0,1.0,15.0,0.1,-8.85,,,-0.7071067811865471,-0.7071067811865479,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.6,8.95
2023.0,1.0,1.0,16.0,0.01,-9.69,,,-0.8660254037844384,-0.5000000000000004,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.6,9.7
2023.0,1.0,1.0,17.0,1.0,-6.44,,,-0.9659258262890683,-0.25881904510252063,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.6,7.44
2023.0,1.0,1.0,18.0,4.16,-9.17,,,-1.0,-1.8369701987210297e-16,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.6,13.33
2023.0,1.0,1.0,19.0,15.1,6.25,,,-0.9659258262890684,0.2588190451025203,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.6,8.85
2023.0,1.0,1.0,20.0,19.51,8.33,,,-0.8660254037844386,0.5000000000000001,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.6,11.180000000000001
2023.0,1.0,1.0,21.0,24.61,27.78,,,-0.7071067811865477,0.7071067811865474,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.6,-3.1700000000000017
2023.0,1.0,1.0,22.0,40.07,19.93,,,-0.5000000000000004,0.8660254037844384,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.6,20.14
2023.0,1.0,1.0,23.0,40.07,41.97,,,-0.25881904510252157,0.9659258262890681,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.6,-1.8999999999999986
2023.0,1.0,1.0,24.0,16.0,6.28,,,-2.4492935982947064e-16,1.0,0.20129852008866006,0.9795299412524945,0.49999999999999994,0.8660254037844387,0.6,9.719999999999999
2023.0,1.0,2.0,1.0,61.38,58.36,,,0.25881904510252074,0.9659258262890683,0.39435585511331855,0.9189578116202306,0.49999999999999994,0.8660254037844387,0.6,3.020000000000003
2023.0,1.0,2.0,2.0,42.17,36.9,,,0.49999999999999994,0.8660254037844387,0.39435585511331855,0.9189578116202306,0.49999999999999994,0.8660254037844387,0.6,5.270000000000003
2023.0,1.0,2.0,3.0,42.0,24.67,,,0.7071067811865475,0.7071067811865476,0.39435585511331855,0.9189578116202306,0.49999999999999994,0.8660254037844387,0.6,17.33
2023.0,1.0,2.0,4.0,42.07,25.35,,,0.8660254037844386,0.5000000000000001,0.39435585511331855,0.9189578116202306,0.49999999999999994,0.8660254037844387,0.6,16.72
2023.0,1.0,2.0,5.0,42.17,41.29,,,0.9659258262890683,0.25881904510252074,0.39435585511331855,0.9189578116202306,0.49999999999999994,0.8660254037844387,0.6,0.8800000000000026
2023.0,1.0,2.0,6.0,63.22,54.11,,,1.0,6.123233995736766e-17,0.39435585511331855,0.9189578116202306,0.49999999999999994,0.8660254037844387,0.6,9.11
2023.0,1.0,2.0,7.0,85.0,84.8,,,0.9659258262890683,-0.25881904510252063,0.39435585511331855,0.9189578116202306,0.49999999999999994,0.8660254037844387,0.6,0.20000000000000284
2023.0,1.0,2.0,8.0,105.36,104.74,,,0.8660254037844387,-0.4999999999999998,0.39435585511331855,0.9189578116202306,0.49999999999999994,0.8660254037844387,0.6,0.6200000000000045
2023.0,1.0,2.0,9.0,131.0,129.74,,,0.7071067811865476,-0.7071067811865475,0.39435585511331855,0.9189578116202306,0.49999999999999994,0.8660254037844387,0.6,1.259999999999991
2023.0,1.0,2.0,10.0,131.58,131.31,,,0.49999999999999994,-0.8660254037844387,0.39435585511331855,0.9189578116202306,0.49999999999999994,0.8660254037844387,0.6,0.27000000000001023
2023.0,1.0,2.0,11.0,127.0,128.06,,,0.258819045102521,-0.9659258262890682,0.39435585511331855,0.9189578116202306,0.49999999999999994,0.8660254037844387,0.6,-1.0600000000000023
