Year,Month,Day,Hour,DA ES
2023.0,1.0,6.0,13.0,103.36
2023.0,1.0,6.0,14.0,90.23
2023.0,1.0,6.0,15.0,80.23
2023.0,1.0,6.0,16.0,70.0
2023.0,1.0,6.0,17.0,80.43
2023.0,1.0,6.0,18.0,121.2
2023.0,1.0,6.0,19.0,128.47
2023.0,1.0,6.0,20.0,137.73
2023.0,1.0,6.0,21.0,137.73
2023.0,1.0,6.0,22.0,132.0
2023.0,1.0,6.0,23.0,99.9
2023.0,1.0,6.0,24.0,91.1
2023.0,1.0,7.0,1.0,53.42
2023.0,1.0,7.0,2.0,40.3
2023.0,1.0,7.0,3.0,25.5
2023.0,1.0,7.0,4.0,24.8
2023.0,1.0,7.0,5.0,20.0
2023.0,1.0,7.0,6.0,14.85
2023.0,1.0,7.0,7.0,14.85
2023.0,1.0,7.0,8.0,14.0
2023.0,1.0,7.0,9.0,18.28
2023.0,1.0,7.0,10.0,20.2
2023.0,1.0,7.0,11.0,18.28
2023.0,1.0,7.0,12.0,14.0
2023.0,1.0,7.0,13.0,10.35
2023.0,1.0,7.0,14.0,8.0
2023.0,1.0,7.0,15.0,5.46
2023.0,1.0,7.0,16.0,4.16
2023.0,1.0,7.0,17.0,8.0
2023.0,1.0,7.0,18.0,24.61
2023.0,1.0,7.0,19.0,40.0
2023.0,1.0,7.0,20.0,43.45
2023.0,1.0,7.0,21.0,50.0
2023.0,1.0,7.0,22.0,43.45
2023.0,1.0,7.0,23.0,30.0
2023.0,1.0,7.0,24.0,24.61
2023.0,1.0,8.0,1.0,7.0
2023.0,1.0,8.0,2.0,5.0
2023.0,1.0,8.0,3.0,4.2
2023.0,1.0,8.0,4.0,4.16
2023.0,1.0,8.0,5.0,4.16
2023.0,1.0,8.0,6.0,4.16
2023.0,1.0,8.0,7.0,4.16
2023.0,1.0,8.0,8.0,4.16
2023.0,1.0,8.0,9.0,4.16
2023.0,1.0,8.0,10.0,5.0
2023.0,1.0,8.0,11.0,5.1
2023.0,1.0,8.0,12.0,5.05
2023.0,1.0,8.0,13.0,4.9
2023.0,1.0,8.0,14.0,5.0
2023.0,1.0,8.0,15.0,4.6
2023.0,1.0,8.0,16.0,4.2
2023.0,1.0,8.0,17.0,4.6
2023.0,1.0,8.0,18.0,7.1
2023.0,1.0,8.0,19.0,17.8
2023.0,1.0,8.0,20.0,24.61
2023.0,1.0,8.0,21.0,40.0
2023.0,1.0,8.0,22.0,40.0
2023.0,1.0,8.0,23.0,21.94
2023.0,1.0,8.0,24.0,15.7
2023.0,1.0,9.0,1.0,5.1
2023.0,1.0,9.0,2.0,4.2
2023.0,1.0,9.0,3.0,4.2
2023.0,1.0,9.0,4.0,4.2
2023.0,1.0,9.0,5.0,4.6
2023.0,1.0,9.0,6.0,5.5
2023.0,1.0,9.0,7.0,24.61
2023.0,1.0,9.0,8.0,80.0
2023.0,1.0,9.0,9.0,118.0
2023.0,1.0,9.0,10.0,121.16
2023.0,1.0,9.0,11.0,119.58
2023.0,1.0,9.0,12.0,115.0
2023.0,1.0,9.0,13.0,106.0
2023.0,1.0,9.0,14.0,91.84
2023.0,1.0,9.0,15.0,81.28
2023.0,1.0,9.0,16.0,72.32
2023.0,1.0,9.0,17.0,99.1
2023.0,1.0,9.0,18.0,130.26
2023.0,1.0,9.0,19.0,161.5
2023.0,1.0,9.0,20.0,171.62
2023.0,1.0,9.0,21.0,161.21
2023.0,1.0,9.0,22.0,139.16
2023.0,1.0,9.0,23.0,132.0
2023.0,1.0,9.0,24.0,106.34
2023.0,1.0,10.0,1.0,105.98
2023.0,1.0,10.0,2.0,96.79
2023.0,1.0,10.0,3.0,95.31
2023.0,1.0,10.0,4.0,90.19
2023.0,1.0,10.0,5.0,93.0
2023.0,1.0,10.0,6.0,98.0
2023.0,1.0,10.0,7.0,117.67
2023.0,1.0,10.0,8.0,132.67
2023.0,1.0,10.0,9.0,141.84
2023.0,1.0,10.0,10.0,141.44
2023.0,1.0,10.0,11.0,125.3
2023.0,1.0,10.0,12.0,101.0
2023.0,1.0,10.0,13.0,97.6
2023.0,1.0,10.0,14.0,95.5
2023.0,1.0,10.0,15.0,92.6
2023.0,1.0,10.0,16.0,92.0
2023.0,1.0,10.0,17.0,98.0
2023.0,1.0,10.0,18.0,133.28
2023.0,1.0,10.0,19.0,144.74
2023.0,1.0,10.0,20.0,141.07
2023.0,1.0,10.0,21.0,124.84
2023.0,1.0,10.0,22.0,109.65
2023.0,1.0,10.0,23.0,92.8
2023.0,1.0,10.0,24.0,64.3
2023.0,1.0,11.0,1.0,35.0
2023.0,1.0,11.0,2.0,8.0
2023.0,1.0,11.0,3.0,4.16
2023.0,1.0,11.0,4.0,4.16
2023.0,1.0,11.0,5.0,4.16
2023.0,1.0,11.0,6.0,5.53
2023.0,1.0,11.0,7.0,64.37
2023.0,1.0,11.0,8.0,99.99
2023.0,1.0,11.0,9.0,139.02
2023.0,1.0,11.0,10.0,138.67
2023.0,1.0,11.0,11.0,130.0
2023.0,1.0,11.0,12.0,107.35
2023.0,1.0,11.0,13.0,95.96
2023.0,1.0,11.0,14.0,84.77
2023.0,1.0,11.0,15.0,66.02
2023.0,1.0,11.0,16.0,62.87
2023.0,1.0,11.0,17.0,85.15
2023.0,1.0,11.0,18.0,130.0
2023.0,1.0,11.0,19.0,134.95
2023.0,1.0,11.0,20.0,131.96
2023.0,1.0,11.0,21.0,136.65
2023.0,1.0,11.0,22.0,135.07
2023.0,1.0,11.0,23.0,115.16
2023.0,1.0,11.0,24.0,93.08
2023.0,1.0,12.0,1.0,69.5
2023.0,1.0,12.0,2.0,56.6
2023.0,1.0,12.0,3.0,56.0
2023.0,1.0,12.0,4.0,56.0
2023.0,1.0,12.0,5.0,55.7
2023.0,1.0,12.0,6.0,56.6
2023.0,1.0,12.0,7.0,91.12
2023.0,1.0,12.0,8.0,118.91
2023.0,1.0,12.0,9.0,122.1
2023.0,1.0,12.0,10.0,120.0
2023.0,1.0,12.0,11.0,102.84
2023.0,1.0,12.0,12.0,98.6
2023.0,1.0,12.0,13.0,85.67
2023.0,1.0,12.0,14.0,81.59
2023.0,1.0,12.0,15.0,70.34
2023.0,1.0,12.0,16.0,70.76
2023.0,1.0,12.0,17.0,94.18
2023.0,1.0,12.0,18.0,120.63
2023.0,1.0,12.0,19.0,132.89
2023.0,1.0,12.0,20.0,141.43
2023.0,1.0,12.0,21.0,142.22
2023.0,1.0,12.0,22.0,114.74
2023.0,1.0,12.0,23.0,104.79
2023.0,1.0,12.0,24.0,61.32
2023.0,1.0,13.0,1.0,59.83
2023.0,1.0,13.0,2.0,44.2
2023.0,1.0,13.0,3.0,39.05
2023.0,1.0,13.0,4.0,39.0
2023.0,1.0,13.0,5.0,38.7
2023.0,1.0,13.0,6.0,39.0
2023.0,1.0,13.0,7.0,58.92
2023.0,1.0,13.0,8.0,92.58
2023.0,1.0,13.0,9.0,111.33
2023.0,1.0,13.0,10.0,106.03
2023.0,1.0,13.0,11.0,98.74
2023.0,1.0,13.0,12.0,91.17
2023.0,1.0,13.0,13.0,82.89
2023.0,1.0,13.0,14.0,76.14
2023.0,1.0,13.0,15.0,77.96
2023.0,1.0,13.0,16.0,80.0
2023.0,1.0,13.0,17.0,90.14
2023.0,1.0,13.0,18.0,113.13
2023.0,1.0,13.0,19.0,128.08
2023.0,1.0,13.0,20.0,149.0
2023.0,1.0,13.0,21.0,154.7
2023.0,1.0,13.0,22.0,138.69
2023.0,1.0,13.0,23.0,110.37
2023.0,1.0,13.0,24.0,103.94
2023.0,1.0,14.0,1.0,80.0
2023.0,1.0,14.0,2.0,73.5
2023.0,1.0,14.0,3.0,65.91
2023.0,1.0,14.0,4.0,49.95
2023.0,1.0,14.0,5.0,45.37
2023.0,1.0,14.0,6.0,45.0
2023.0,1.0,14.0,7.0,48.23
2023.0,1.0,14.0,8.0,59.39
2023.0,1.0,14.0,9.0,60.65
2023.0,1.0,14.0,10.0,68.71
2023.0,1.0,14.0,11.0,54.23
2023.0,1.0,14.0,12.0,45.4
2023.0,1.0,14.0,13.0,45.4
2023.0,1.0,14.0,14.0,45.0
2023.0,1.0,14.0,15.0,40.0
2023.0,1.0,14.0,16.0,35.0
2023.0,1.0,14.0,17.0,42.97
2023.0,1.0,14.0,18.0,54.23
2023.0,1.0,14.0,19.0,64.5
2023.0,1.0,14.0,20.0,69.78
2023.0,1.0,14.0,21.0,54.52
2023.0,1.0,14.0,22.0,45.0
2023.0,1.0,14.0,23.0,44.2
2023.0,1.0,14.0,24.0,35.0
2023.0,1.0,15.0,1.0,25.0
2023.0,1.0,15.0,2.0,17.08
2023.0,1.0,15.0,3.0,13.94
2023.0,1.0,15.0,4.0,4.16
2023.0,1.0,15.0,5.0,3.1
2023.0,1.0,15.0,6.0,4.16
2023.0,1.0,15.0,7.0,4.16
2023.0,1.0,15.0,8.0,5.0
2023.0,1.0,15.0,9.0,16.18
2023.0,1.0,15.0,10.0,26.73
2023.0,1.0,15.0,11.0,31.1
2023.0,1.0,15.0,12.0,24.61
2023.0,1.0,15.0,13.0,23.0
2023.0,1.0,15.0,14.0,21.94
2023.0,1.0,15.0,15.0,19.23
2023.0,1.0,15.0,16.0,15.0
2023.0,1.0,15.0,17.0,19.93
2023.0,1.0,15.0,18.0,30.0
2023.0,1.0,15.0,19.0,35.6
2023.0,1.0,15.0,20.0,40.0
2023.0,1.0,15.0,21.0,50.56
2023.0,1.0,15.0,22.0,41.28
2023.0,1.0,15.0,23.0,34.5
2023.0,1.0,15.0,24.0,23.0
2023.0,1.0,16.0,1.0,4.16
2023.0,1.0,16.0,2.0,3.0
2023.0,1.0,16.0,3.0,4.16
2023.0,1.0,16.0,4.0,3.0
2023.0,1.0,16.0,5.0,3.0
2023.0,1.0,16.0,6.0,4.16
2023.0,1.0,16.0,7.0,4.16
2023.0,1.0,16.0,8.0,12.0
2023.0,1.0,16.0,9.0,22.8
2023.0,1.0,16.0,10.0,22.8
2023.0,1.0,16.0,11.0,20.9
2023.0,1.0,16.0,12.0,14.0
2023.0,1.0,16.0,13.0,14.0
2023.0,1.0,16.0,14.0,15.0
2023.0,1.0,16.0,15.0,9.69
2023.0,1.0,16.0,16.0,9.69
2023.0,1.0,16.0,17.0,9.69
2023.0,1.0,16.0,18.0,14.0
2023.0,1.0,16.0,19.0,22.4
2023.0,1.0,16.0,20.0,31.75
2023.0,1.0,16.0,21.0,34.2
2023.0,1.0,16.0,22.0,24.61
2023.0,1.0,16.0,23.0,9.99
2023.0,1.0,16.0,24.0,4.16
2023.0,1.0,17.0,1.0,4.16
2023.0,1.0,17.0,2.0,4.16
2023.0,1.0,17.0,3.0,2.99
2023.0,1.0,17.0,4.0,1.49
2023.0,1.0,17.0,5.0,0.65
2023.0,1.0,17.0,6.0,1.49
2023.0,1.0,17.0,7.0,4.16
2023.0,1.0,17.0,8.0,4.16
2023.0,1.0,17.0,9.0,4.7
2023.0,1.0,17.0,10.0,4.85
2023.0,1.0,17.0,11.0,4.16
2023.0,1.0,17.0,12.0,4.16
2023.0,1.0,17.0,13.0,4.16
2023.0,1.0,17.0,14.0,4.16
2023.0,1.0,17.0,15.0,4.16
2023.0,1.0,17.0,16.0,4.16
2023.0,1.0,17.0,17.0,4.16
2023.0,1.0,17.0,18.0,4.16
2023.0,1.0,17.0,19.0,4.95
2023.0,1.0,17.0,20.0,12.46
2023.0,1.0,17.0,21.0,17.5
2023.0,1.0,17.0,22.0,12.2
2023.0,1.0,17.0,23.0,4.95
2023.0,1.0,17.0,24.0,4.16
2023.0,1.0,18.0,1.0,3.8
2023.0,1.0,18.0,2.0,0.57
2023.0,1.0,18.0,3.0,0.1
2023.0,1.0,18.0,4.0,0.1
2023.0,1.0,18.0,5.0,0.12
2023.0,1.0,18.0,6.0,0.65
2023.0,1.0,18.0,7.0,1.8
2023.0,1.0,18.0,8.0,10.0
2023.0,1.0,18.0,9.0,24.61
2023.0,1.0,18.0,10.0,21.34
2023.0,1.0,18.0,11.0,12.6
2023.0,1.0,18.0,12.0,4.16
2023.0,1.0,18.0,13.0,4.16
2023.0,1.0,18.0,14.0,4.16
2023.0,1.0,18.0,15.0,4.16
2023.0,1.0,18.0,16.0,4.16
2023.0,1.0,18.0,17.0,4.16
2023.0,1.0,18.0,18.0,14.0
2023.0,1.0,18.0,19.0,35.74
2023.0,1.0,18.0,20.0,105.95
2023.0,1.0,18.0,21.0,122.7
2023.0,1.0,18.0,22.0,100.0
2023.0,1.0,18.0,23.0,25.59
2023.0,1.0,18.0,24.0,14.0
2023.0,1.0,19.0,1.0,40.86
2023.0,1.0,19.0,2.0,29.99
2023.0,1.0,19.0,3.0,24.98
2023.0,1.0,19.0,4.0,24.61
2023.0,1.0,19.0,5.0,24.0
2023.0,1.0,19.0,6.0,24.61
2023.0,1.0,19.0,7.0,26.4
2023.0,1.0,19.0,8.0,62.0
2023.0,1.0,19.0,9.0,94.8
2023.0,1.0,19.0,10.0,66.72
2023.0,1.0,19.0,11.0,26.8
2023.0,1.0,19.0,12.0,22.6
2023.0,1.0,19.0,13.0,21.94
2023.0,1.0,19.0,14.0,21.0
2023.0,1.0,19.0,15.0,18.57
2023.0,1.0,19.0,16.0,18.35
2023.0,1.0,19.0,17.0,20.0
2023.0,1.0,19.0,18.0,24.61
2023.0,1.0,19.0,19.0,38.59
2023.0,1.0,19.0,20.0,48.85
2023.0,1.0,19.0,21.0,54.8
2023.0,1.0,19.0,22.0,41.3
2023.0,1.0,19.0,23.0,30.0
2023.0,1.0,19.0,24.0,21.94
2023.0,1.0,20.0,1.0,48.9
2023.0,1.0,20.0,2.0,44.5
2023.0,1.0,20.0,3.0,29.99
2023.0,1.0,20.0,4.0,30.0
2023.0,1.0,20.0,5.0,37.01
2023.0,1.0,20.0,6.0,48.0
2023.0,1.0,20.0,7.0,53.7
2023.0,1.0,20.0,8.0,71.72
2023.0,1.0,20.0,9.0,90.58
2023.0,1.0,20.0,10.0,93.38
2023.0,1.0,20.0,11.0,83.82
2023.0,1.0,20.0,12.0,77.0
2023.0,1.0,20.0,13.0,82.85
2023.0,1.0,20.0,14.0,76.77
2023.0,1.0,20.0,15.0,75.0
2023.0,1.0,20.0,16.0,75.0
2023.0,1.0,20.0,17.0,88.3
2023.0,1.0,20.0,18.0,115.97
2023.0,1.0,20.0,19.0,164.3
2023.0,1.0,20.0,20.0,207.8
2023.0,1.0,20.0,21.0,197.95
2023.0,1.0,20.0,22.0,175.89
2023.0,1.0,20.0,23.0,126.9
2023.0,1.0,20.0,24.0,93.53
2023.0,1.0,21.0,1.0,75.76
2023.0,1.0,21.0,2.0,60.5
2023.0,1.0,21.0,3.0,56.0
2023.0,1.0,21.0,4.0,52.0
2023.0,1.0,21.0,5.0,50.0
2023.0,1.0,21.0,6.0,45.19
2023.0,1.0,21.0,7.0,45.19
2023.0,1.0,21.0,8.0,52.49
2023.0,1.0,21.0,9.0,55.16
2023.0,1.0,21.0,10.0,55.16
2023.0,1.0,21.0,11.0,52.49
2023.0,1.0,21.0,12.0,50.0
2023.0,1.0,21.0,13.0,45.0
2023.0,1.0,21.0,14.0,44.8
2023.0,1.0,21.0,15.0,43.77
2023.0,1.0,21.0,16.0,37.76
2023.0,1.0,21.0,17.0,44.8
2023.0,1.0,21.0,18.0,54.6
2023.0,1.0,21.0,19.0,75.76
2023.0,1.0,21.0,20.0,93.01
2023.0,1.0,21.0,21.0,111.56
2023.0,1.0,21.0,22.0,91.16
2023.0,1.0,21.0,23.0,67.2
2023.0,1.0,21.0,24.0,54.02
2023.0,1.0,22.0,1.0,32.37
2023.0,1.0,22.0,2.0,18.0
2023.0,1.0,22.0,3.0,20.0
2023.0,1.0,22.0,4.0,14.0
2023.0,1.0,22.0,5.0,13.84
2023.0,1.0,22.0,6.0,13.29
2023.0,1.0,22.0,7.0,11.0
2023.0,1.0,22.0,8.0,16.0
2023.0,1.0,22.0,9.0,30.1
2023.0,1.0,22.0,10.0,28.09
2023.0,1.0,22.0,11.0,18.0
2023.0,1.0,22.0,12.0,15.0
2023.0,1.0,22.0,13.0,18.0
2023.0,1.0,22.0,14.0,20.0
2023.0,1.0,22.0,15.0,20.15
2023.0,1.0,22.0,16.0,18.0
2023.0,1.0,22.0,17.0,21.94
2023.0,1.0,22.0,18.0,32.99
2023.0,1.0,22.0,19.0,71.72
2023.0,1.0,22.0,20.0,88.65
2023.0,1.0,22.0,21.0,128.97
