Year,Month,Day,Hour,DA,ID,Diff,Hour_Sin,Hour_Cos,Day_Sin,Day_Cos,Month_Sin,Month_Cos,Year_Scaled,Gas_Price
2023,8.0,7.0,12.0,75.01,78.3,-3.289999999999992,1.2246467991473532e-16,-1.0,0.9884683243281114,0.1514277775045767,-0.8660254037844384,-0.5000000000000004,0.6,28.95
2023,8.0,7.0,13.0,90.0,83.13,6.8700000000000045,-0.2588190451025208,-0.9659258262890683,0.9884683243281114,0.1514277775045767,-0.8660254037844384,-0.5000000000000004,0.6,28.95
2023,8.0,7.0,14.0,90.0,80.0,10.0,-0.4999999999999997,-0.8660254037844388,0.9884683243281114,0.1514277775045767,-0.8660254037844384,-0.5000000000000004,0.6,28.95
2023,8.0,7.0,15.0,90.0,84.93,5.069999999999993,-0.7071067811865471,-0.7071067811865479,0.9884683243281114,0.1514277775045767,-0.8660254037844384,-0.5000000000000004,0.6,28.95
2023,8.0,7.0,16.0,90.0,80.23,9.769999999999996,-0.8660254037844384,-0.5000000000000004,0.9884683243281114,0.1514277775045767,-0.8660254037844384,-0.5000000000000004,0.6,28.95
2023,8.0,7.0,17.0,90.0,76.61,13.39,-0.9659258262890683,-0.25881904510252063,0.9884683243281114,0.1514277775045767,-0.8660254037844384,-0.5000000000000004,0.6,28.95
2023,8.0,7.0,18.0,85.01,70.95,14.060000000000002,-1.0,-1.8369701987210297e-16,0.9884683243281114,0.1514277775045767,-0.8660254037844384,-0.5000000000000004,0.6,28.95
2023,8.0,7.0,19.0,85.1,85.1,0.0,-0.9659258262890684,0.2588190451025203,0.9884683243281114,0.1514277775045767,-0.8660254037844384,-0.5000000000000004,0.6,28.95
2023,8.0,7.0,20.0,107.02,107.02,0.0,-0.8660254037844386,0.5000000000000001,0.9884683243281114,0.1514277775045767,-0.8660254037844384,-0.5000000000000004,0.6,28.95
2023,8.0,7.0,21.0,116.3,125.95,-9.650000000000006,-0.7071067811865477,0.7071067811865474,0.9884683243281114,0.1514277775045767,-0.8660254037844384,-0.5000000000000004,0.6,28.95
2023,8.0,7.0,22.0,124.95,133.7,-8.749999999999986,-0.5000000000000004,0.8660254037844384,0.9884683243281114,0.1514277775045767,-0.8660254037844384,-0.5000000000000004,0.6,28.95
2023,8.0,7.0,23.0,110.8,140.02,-29.220000000000013,-0.25881904510252157,0.9659258262890681,0.9884683243281114,0.1514277775045767,-0.8660254037844384,-0.5000000000000004,0.6,28.95
2023,8.0,7.0,24.0,100.0,128.55,-28.55000000000001,-2.4492935982947064e-16,1.0,0.9884683243281114,0.1514277775045767,-0.8660254037844384,-0.5000000000000004,0.6,28.95
