OMIE - Mercado de electricidad;Fecha Emisión :26/12/2023 - 02:23;;25/12/2023;Precios Máximos, Mínimos y Medios ponderados del Mercado Continuo para cada una de las horas;;;;

Año;Mes;Día;Hora;MáximoES;MáximoPT;MáximoMO;MínimoES;MínimoPT;MínimoMO;MedioES;MedioPT;MedioMO;
2023;12;25;1;98,55;53,15;0;49,96;53,15;0;60,75;53,15;0;
2023;12;25;2;98,56;98,56;0;63,32;63,32;0;67,47;64,27;0;
2023;12;25;3;98,55;74,90;0;54,20;74,90;0;71,04;74,90;0;
2023;12;25;4;98,55;0;0;57,88;0;0;72,87;0;0;
2023;12;25;5;82,00;0;0;49,30;0;0;59,01;0;0;
2023;12;25;6;83,30;0;0;49,10;0;0;59,45;0;0;
2023;12;25;7;79,32;72,99;0;50,00;72,89;0;61,65;72,94;0;
2023;12;25;8;83,74;83,74;0;54,90;78,80;0;63,01;79,62;0;
2023;12;25;9;98,55;0;0;57,00;0;0;67,49;0;0;
2023;12;25;10;77,32;0;0;53,00;0;0;61,09;0;0;
2023;12;25;11;71,00;0;0;49,60;0;0;56,12;0;0;
2023;12;25;12;73,42;84,37;0;49,28;84,37;0;55,89;84,37;0;
2023;12;25;13;74,00;83,74;0;49,30;51,39;0;62,80;67,97;0;
2023;12;25;14;74,62;91,20;0;49,30;59,16;0;58,40;81,65;0;
2023;12;25;15;74,64;48,60;0;45,49;45,49;0;51,96;48,14;0;
2023;12;25;16;77,33;68,69;0;45,19;45,19;0;59,17;60,58;0;
2023;12;25;17;84,57;83,93;0;53,30;79,21;0;74,84;82,05;0;
2023;12;25;18;79,00;63,84;0;63,79;63,79;0;74,78;63,84;0;
2023;12;25;19;96,23;96,23;0;73,06;84,82;0;86,04;91,71;0;
2023;12;25;20;98,61;98,91;0;75,01;75,01;0;86,28;94,47;0;
2023;12;25;21;101,46;101,46;0;73,50;73,50;0;88,20;98,71;0;
2023;12;25;22;103,00;103,00;0;72,55;97,07;0;87,34;99,99;0;
2023;12;25;23;103,00;103,00;0;73,46;95,68;0;87,75;100,90;0;
2023;12;25;24;97,98;97,98;0;68,59;91,20;0;76,50;92,63;0;
;;;;;;;;;;;;;
