OMIE - Mercado de electricidad;Fecha Emisión :31/08/2023 - 01:40;;30/08/2023;Precios Máximos, Mínimos y Medios ponderados del Mercado Continuo para cada una de las horas;;;;

Año;Mes;Día;Hora;MáximoES;MáximoPT;MáximoMO;MínimoES;MínimoPT;MínimoMO;MedioES;MedioPT;MedioMO;
2023;8;30;1;118,60;108,60;0;93,97;102,24;0;105,28;108,08;0;
2023;8;30;2;114,92;0;0;92,75;0;0;97,94;0;0;
2023;8;30;3;99,37;0;0;89,14;0;0;93,57;0;0;
2023;8;30;4;120,13;94,27;0;85,72;86,21;0;91,74;93,49;0;
2023;8;30;5;99,46;93,00;0;86,18;87,39;0;93,47;90,59;0;
2023;8;30;6;104,38;96,50;0;89,00;96,40;0;96,33;96,48;0;
2023;8;30;7;121,67;115,00;0;96,56;110,56;0;115,56;113,75;0;
2023;8;30;8;130,34;116,80;0;111,63;113,98;0;119,30;116,04;0;
2023;8;30;9;134,16;132,16;0;118,40;121,20;0;128,31;124,59;0;
2023;8;30;10;127,46;122,52;0;111,75;117,30;0;119,28;121,85;0;
2023;8;30;11;109,87;100,26;0;95,14;95,71;0;103,13;97,05;0;
2023;8;30;12;102,65;98,59;0;87,01;89,22;0;94,67;95,18;0;
2023;8;30;13;97,05;96,00;0;78,42;78,42;0;89,01;85,52;0;
2023;8;30;14;95,48;87,85;0;76,81;82,90;0;85,66;85,05;0;
2023;8;30;15;92,55;87,99;0;79,95;81,21;0;86,41;84,23;0;
2023;8;30;16;105,15;105,15;0;82,25;82,36;0;88,39;84,07;0;
2023;8;30;17;104,26;104,26;0;82,09;85,78;0;89,15;86,64;0;
2023;8;30;18;95,58;92,83;0;82,00;82,13;0;89,51;90,19;0;
2023;8;30;19;122,00;83,33;0;82,13;83,33;0;98,73;83,33;0;
2023;8;30;20;151,23;129,00;0;112,01;112,19;0;125,92;120,34;0;
2023;8;30;21;144,39;138,45;0;117,38;117,40;0;133,64;128,47;0;
2023;8;30;22;139,00;139,30;0;124,41;126,31;0;130,70;133,89;0;
2023;8;30;23;127,50;123,50;0;118,39;123,50;0;122,76;123,50;0;
2023;8;30;24;122,84;122,83;0;100,40;122,60;0;112,75;122,74;0;
;;;;;;;;;;;;;
