OMIE - Mercado de electricidad;Fecha Emisión :16/06/2023 - 05:34;;15/06/2023;Precios Máximos, Mínimos y Medios ponderados del Mercado Continuo para cada una de las horas;;;;

Año;Mes;Día;Hora;MáximoES;MáximoPT;MáximoMO;MínimoES;MínimoPT;MínimoMO;MedioES;MedioPT;MedioMO;
2023;6;15;1;120,29;118,31;0;102,62;112,39;0;110,49;115,97;0;
2023;6;15;2;111,62;108,06;0;94,49;91,24;0;104,73;105,36;0;
2023;6;15;3;106,77;106,00;0;97,62;102,00;0;102,90;104,46;0;
2023;6;15;4;105,30;104,50;0;97,66;104,00;0;102,00;104,41;0;
2023;6;15;5;105,73;91,24;0;91,00;91,00;0;101,08;91,14;0;
2023;6;15;6;104,95;94,00;0;84,60;90,52;0;95,77;91,64;0;
2023;6;15;7;110,67;109,70;0;91,16;91,08;0;105,51;105,30;0;
2023;6;15;8;123,00;116,29;0;107,00;108,00;0;113,79;115,15;0;
2023;6;15;9;115,89;115,89;0;105,12;115,89;0;108,98;115,89;0;
2023;6;15;10;108,10;102,20;0;91,08;91,08;0;101,62;95,87;0;
2023;6;15;11;103,30;98,79;0;80,00;89,96;0;96,77;92,94;0;
2023;6;15;12;98,02;98,02;0;79,60;85,00;0;92,99;94,36;0;
2023;6;15;13;96,51;96,22;0;85,90;90,79;0;92,82;91,11;0;
2023;6;15;14;104,90;92,90;0;86,32;89,49;0;95,08;90,62;0;
2023;6;15;15;107,79;110,72;0;86,00;89,50;0;95,09;104,67;0;
2023;6;15;16;102,30;101,21;0;81,52;81,52;0;95,94;98,28;0;
2023;6;15;17;106,39;106,39;0;72,75;88,25;0;96,15;95,81;0;
2023;6;15;18;117,78;116,61;0;89,05;89,05;0;101,08;103,63;0;
2023;6;15;19;127,69;125,01;0;76,10;80,00;0;98,93;94,39;0;
2023;6;15;20;144,94;104,00;0;95,00;101,97;0;109,26;103,68;0;
2023;6;15;21;185,00;184,96;0;109,05;109,66;0;129,98;125,21;0;
2023;6;15;22;200,00;203,49;0;142,11;142,10;0;163,50;175,41;0;
2023;6;15;23;174,00;174,15;0;145,80;146,80;0;153,26;168,55;0;
2023;6;15;24;133,00;131,00;0;116,68;118,68;0;125,49;121,12;0;
;;;;;;;;;;;;;
