OMIE - Mercado de electricidad;Fecha Emisión :05/03/2023 - 01:33;;04/03/2023;Precios Máximos, Mínimos y Medios ponderados del Mercado Continuo para cada una de las horas;;;;

Año;Mes;Día;Hora;MáximoES;MáximoPT;MáximoMO;MínimoES;MínimoPT;MínimoMO;MedioES;MedioPT;MedioMO;
2023;3;4;1;158,44;155,90;0;142,00;153,50;0;148,40;154,88;0;
2023;3;4;2;156,60;154,50;0;122,33;122,33;0;140,66;145,49;0;
2023;3;4;3;159,77;155,90;0;138,10;143,00;0;151,44;152,25;0;
2023;3;4;4;150,68;154,00;0;133,52;138,00;0;142,30;140,02;0;
2023;3;4;5;148,10;142,00;0;132,40;138,01;0;139,90;139,07;0;
2023;3;4;6;147,73;143,56;0;126,80;133,00;0;139,31;141,05;0;
2023;3;4;7;150,05;142,47;0;130,99;140,02;0;140,68;140,86;0;
2023;3;4;8;155,00;155,50;0;141,39;144,00;0;150,01;153,27;0;
2023;3;4;9;165,00;161,90;0;135,49;152,81;0;150,59;157,62;0;
2023;3;4;10;153,10;133,39;0;115,00;123,48;0;139,10;125,28;0;
2023;3;4;11;144,40;122,80;0;109,60;109,60;0;123,15;115,64;0;
2023;3;4;12;125,00;117,30;0;110,00;110,10;0;120,19;115,33;0;
2023;3;4;13;135,31;116,92;0;111,39;111,77;0;121,64;113,49;0;
2023;3;4;14;143,00;134,10;0;114,80;115,00;0;130,33;131,14;0;
2023;3;4;15;152,80;133,63;0;111,70;128,00;0;132,39;129,61;0;
2023;3;4;16;129,30;115,10;0;109,30;109,30;0;116,00;113,29;0;
2023;3;4;17;135,01;115,10;0;100,00;110,00;0;119,63;111,50;0;
2023;3;4;18;134,19;126,40;0;99,99;100,00;0;122,11;105,87;0;
2023;3;4;19;162,10;159,50;0;144,00;148,21;0;150,17;154,68;0;
2023;3;4;20;176,00;164,01;0;148,40;148,40;0;162,37;149,16;0;
2023;3;4;21;243,00;200,00;0;173,00;178,81;0;205,65;188,06;0;
2023;3;4;22;200,00;190,00;0;160,00;165,30;0;175,11;177,55;0;
2023;3;4;23;170,00;163,05;0;149,20;149,70;0;157,74;157,43;0;
2023;3;4;24;165,00;160,90;0;139,00;141,70;0;149,18;155,45;0;
;;;;;;;;;;;;;
