OMIE - Mercado de electricidad;Fecha Emisión :21/12/2023 - 08:12;;20/12/2023;Precios Máximos, Mínimos y Medios ponderados del Mercado Continuo para cada una de las horas;;;;

Año;Mes;Día;Hora;MáximoES;MáximoPT;MáximoMO;MínimoES;MínimoPT;MínimoMO;MedioES;MedioPT;MedioMO;
2023;12;20;1;62,65;56,60;0;54,90;54,80;0;58,08;55,67;0;
2023;12;20;2;65,37;0;0;53,03;0;0;57,77;0;0;
2023;12;20;3;62,66;54,98;0;48,69;51,25;0;54,18;51,40;0;
2023;12;20;4;47,59;41,50;0;37,79;40,00;0;43,53;40,40;0;
2023;12;20;5;44,00;0;0;30,88;0;0;39,46;0;0;
2023;12;20;6;64,09;42,16;0;36,83;41,06;0;45,35;41,69;0;
2023;12;20;7;62,11;0;0;50,67;0;0;56,27;0;0;
2023;12;20;8;77,11;0;0;65,49;0;0;70,56;0;0;
2023;12;20;9;89,03;89,03;0;63,88;63,88;0;83,41;86,96;0;
2023;12;20;10;90,61;75,86;0;56,07;56,07;0;81,15;71,19;0;
2023;12;20;11;88,00;60,99;0;60,34;60,99;0;77,84;60,99;0;
2023;12;20;12;82,00;67,58;0;59,15;59,15;0;67,84;63,79;0;
2023;12;20;13;71,43;69,02;0;50,93;49,29;0;58,22;52,30;0;
2023;12;20;14;71,50;71,50;0;40,51;44,69;0;52,71;49,37;0;
2023;12;20;15;83,55;77,04;0;49,50;49,31;0;56,96;58,08;0;
2023;12;20;16;66,49;60,12;0;50,01;60,12;0;52,33;60,12;0;
2023;12;20;17;74,50;70,68;0;52,90;54,47;0;62,81;58,42;0;
2023;12;20;18;88,60;86,31;0;61,00;67,97;0;74,64;71,71;0;
2023;12;20;19;93,36;88,23;0;56,17;56,17;0;83,50;70,44;0;
2023;12;20;20;91,57;84,44;0;65,00;65,00;0;78,70;70,06;0;
2023;12;20;21;85,90;80,17;0;65,63;68,10;0;75,23;75,83;0;
2023;12;20;22;81,89;75,04;0;62,03;64,00;0;72,27;73,27;0;
2023;12;20;23;80,41;69,09;0;45,00;54,47;0;63,48;58,04;0;
2023;12;20;24;68,90;55,17;0;36,17;40,00;0;52,47;45,73;0;
;;;;;;;;;;;;;
