OMIE - Mercado de electricidad;Fecha Emisión :12/12/2023 - 02:33;;11/12/2023;Precios Máximos, Mínimos y Medios ponderados del Mercado Continuo para cada una de las horas;;;;

Año;Mes;Día;Hora;MáximoES;MáximoPT;MáximoMO;MínimoES;MínimoPT;MínimoMO;MedioES;MedioPT;MedioMO;
2023;12;11;1;52,72;46,62;0;34,90;46,62;0;47,82;46,62;0;
2023;12;11;2;42,54;22,37;0;16,66;17,25;0;26,39;18,85;0;
2023;12;11;3;35,05;25,42;0;5,84;5,90;0;24,86;14,27;0;
2023;12;11;4;30,24;16,05;0;-4,00;-11,09;0;16,92;5,81;0;
2023;12;11;5;30,44;19,69;0;-9,99;-10,00;0;13,22;0,35;0;
2023;12;11;6;71,50;52,02;0;22,02;20,60;0;34,74;30,29;0;
2023;12;11;7;86,91;80,00;0;42,88;42,89;0;57,05;59,35;0;
2023;12;11;8;98,39;93,00;0;78,74;86,82;0;90,40;90,42;0;
2023;12;11;9;116,78;108,77;0;101,65;108,50;0;107,61;108,60;0;
2023;12;11;10;100,24;76,50;0;66,50;76,45;0;88,21;76,49;0;
2023;12;11;11;94,67;63,14;0;44,89;44,89;0;78,75;58,84;0;
2023;12;11;12;92,50;64,00;0;44,92;44,92;0;67,11;59,09;0;
2023;12;11;13;83,05;73,00;0;40,01;40,01;0;73,15;71,18;0;
2023;12;11;14;81,61;76,01;0;47,99;47,99;0;68,15;62,83;0;
2023;12;11;15;89,31;79,59;0;8,09;8,09;0;70,58;67,23;0;
2023;12;11;16;96,43;85,13;0;28,59;28,59;0;71,73;63,80;0;
2023;12;11;17;106,50;88,10;0;55,01;55,01;0;80,42;73,98;0;
2023;12;11;18;130,64;123,77;0;117,41;119,21;0;123,25;123,15;0;
2023;12;11;19;157,56;123,57;0;118,20;63,14;0;124,08;117,04;0;
2023;12;11;20;126,26;120,00;0;109,00;117,88;0;120,42;119,97;0;
2023;12;11;21;117,08;114,00;0;98,01;112,08;0;111,05;113,95;0;
2023;12;11;22;102,95;100,00;0;88,78;95,90;0;98,04;99,19;0;
2023;12;11;23;99,78;94,11;0;62,02;62,02;0;88,40;74,84;0;
2023;12;11;24;87,69;78,82;0;57,90;61,62;0;71,15;72,31;0;
;;;;;;;;;;;;;
