OMIE - Mercado de electricidad;Fecha Emisión :05/05/2023 - 00:22;;04/05/2023;Precios Máximos, Mínimos y Medios ponderados del Mercado Continuo para cada una de las horas;;;;

Año;Mes;Día;Hora;MáximoES;MáximoPT;MáximoMO;MínimoES;MínimoPT;MínimoMO;MedioES;MedioPT;MedioMO;
2023;5;4;1;92,01;85,99;0;73,99;80,00;0;82,15;85,07;0;
2023;5;4;2;90,00;79,61;0;50,00;67,40;0;78,12;72,94;0;
2023;5;4;3;110,00;78,50;0;64,44;64,44;0;76,39;72,06;0;
2023;5;4;4;110,00;71,11;0;70,93;70,93;0;78,09;71,06;0;
2023;5;4;5;84,83;0;0;76,01;0;0;80,63;0;0;
2023;5;4;6;94,99;0;0;81,20;0;0;84,48;0;0;
2023;5;4;7;104,75;0;0;90,13;0;0;99,69;0;0;
2023;5;4;8;125,32;0;0;110,46;0;0;117,31;0;0;
2023;5;4;9;125,23;122,00;0;110,00;122,00;0;118,27;122,00;0;
2023;5;4;10;106,00;99,11;0;99,29;97,94;0;103,70;98,55;0;
2023;5;4;11;95,00;81,55;0;80,02;81,19;0;89,36;81,41;0;
2023;5;4;12;86,90;111,62;0;60,00;111,23;0;77,77;111,40;0;
2023;5;4;13;75,00;0;0;55,60;0;0;65,63;0;0;
2023;5;4;14;74,27;0;0;35,00;0;0;57,72;0;0;
2023;5;4;15;67,67;61,11;0;30,00;46,99;0;48,40;57,97;0;
2023;5;4;16;74,14;0;0;43,26;0;0;58,97;0;0;
2023;5;4;17;82,00;0;0;57,97;0;0;70,24;0;0;
2023;5;4;18;91,40;0;0;67,73;0;0;76,84;0;0;
2023;5;4;19;100,65;86,46;0;80,00;83,50;0;89,00;85,42;0;
2023;5;4;20;108,99;99,75;0;69,71;89,19;0;101,81;92,73;0;
2023;5;4;21;123,34;120,50;0;113,92;120,50;0;118,30;120,50;0;
2023;5;4;22;145,00;144,05;0;125,00;136,00;0;136,51;140,74;0;
2023;5;4;23;126,63;121,63;0;110,85;113,63;0;118,08;120,47;0;
2023;5;4;24;120,09;115,29;0;102,00;101,53;0;105,09;107,83;0;
;;;;;;;;;;;;;
