OMIE - Mercado de electricidad;Fecha Emisión :03/09/2023 - 02:43;;02/09/2023;Precios Máximos, Mínimos y Medios ponderados del Mercado Continuo para cada una de las horas;;;;

Año;Mes;Día;Hora;MáximoES;MáximoPT;MáximoMO;MínimoES;MínimoPT;MínimoMO;MedioES;MedioPT;MedioMO;
2023;9;2;1;124,40;118,80;0;94,70;95,77;0;101,71;101,40;0;
2023;9;2;2;110,00;104,69;0;95,64;96,31;0;101,37;99,40;0;
2023;9;2;3;105,00;99,71;0;93,19;91,51;0;95,84;93,40;0;
2023;9;2;4;97,28;94,01;0;88,76;88,77;0;93,73;90,04;0;
2023;9;2;5;106,06;91,87;0;78,49;85,32;0;90,38;89,75;0;
2023;9;2;6;100,00;93,70;0;81,02;90,73;0;91,34;92,82;0;
2023;9;2;7;103,24;95,42;0;89,21;90,68;0;96,68;91,14;0;
2023;9;2;8;105,12;100,49;0;94,21;95,86;0;99,94;96,83;0;
2023;9;2;9;109,83;108,85;0;98,73;104,96;0;103,74;105,79;0;
2023;9;2;10;115,00;114,00;0;100,00;104,50;0;109,37;108,64;0;
2023;9;2;11;117,38;96,31;0;84,00;94,60;0;96,30;95,46;0;
2023;9;2;12;94,08;88,58;0;78,51;82,56;0;87,99;85,63;0;
2023;9;2;13;88,33;85,32;0;74,55;73,92;0;80,70;79,66;0;
2023;9;2;14;96,05;88,70;0;75,00;75,01;0;81,69;79,90;0;
2023;9;2;15;97,97;97,93;0;70,00;71,11;0;82,77;80,73;0;
2023;9;2;16;96,06;95,39;0;72,91;72,91;0;81,78;78,21;0;
2023;9;2;17;93,10;90,01;0;74,00;74,00;0;81,07;81,98;0;
2023;9;2;18;97,30;86,73;0;83,46;86,73;0;90,61;86,73;0;
2023;9;2;19;119,99;116,00;0;101,30;106,63;0;109,16;111,74;0;
2023;9;2;20;129,50;128,00;0;115,01;115,40;0;119,37;121,26;0;
2023;9;2;21;130,77;130,98;0;101,11;107,45;0;115,74;125,98;0;
2023;9;2;22;141,65;141,65;0;100,74;107,00;0;111,01;116,79;0;
2023;9;2;23;118,81;116,50;0;95,59;101,01;0;104,23;104,64;0;
2023;9;2;24;103,42;99,91;0;85,00;90,70;0;93,84;97,54;0;
;;;;;;;;;;;;;
