OMIE - Mercado de electricidad;Fecha Emisión :27/11/2023 - 01:40;;26/11/2023;Precios Máximos, Mínimos y Medios ponderados del Mercado Continuo para cada una de las horas;;;;

Año;Mes;Día;Hora;MáximoES;MáximoPT;MáximoMO;MínimoES;MínimoPT;MínimoMO;MedioES;MedioPT;MedioMO;
2023;11;26;1;112,88;111,76;0;93,15;93,15;0;107,10;106,19;0;
2023;11;26;2;108,00;104,99;0;91,10;91,10;0;102,31;102,13;0;
2023;11;26;3;111,30;110,90;0;99,00;100,00;0;104,03;104,15;0;
2023;11;26;4;109,39;109,20;0;97,78;98,53;0;103,76;102,52;0;
2023;11;26;5;109,15;107,71;0;98,60;99,38;0;103,97;104,16;0;
2023;11;26;6;108,59;107,91;0;94,68;102,50;0;103,61;105,29;0;
2023;11;26;7;110,18;107,40;0;98,65;104,00;0;106,65;107,00;0;
2023;11;26;8;114,49;112,05;0;102,64;102,56;0;110,44;107,84;0;
2023;11;26;9;116,50;113,18;0;96,06;96,19;0;110,07;101,10;0;
2023;11;26;10;112,75;103,01;0;99,00;99,00;0;109,74;99,88;0;
2023;11;26;11;109,94;104,10;0;90,00;90,00;0;106,62;97,12;0;
2023;11;26;12;108,67;102,00;0;79,89;79,89;0;104,27;85,21;0;
2023;11;26;13;108,00;98,00;0;79,89;79,89;0;104,92;82,13;0;
2023;11;26;14;110,80;105,76;0;80,15;102,00;0;105,44;103,37;0;
2023;11;26;15;109,61;101,89;0;54,01;54,01;0;97,35;91,23;0;
2023;11;26;16;113,99;112,12;0;78,87;78,87;0;89,21;81,46;0;
2023;11;26;17;127,14;112,99;0;64,65;64,65;0;89,63;84,62;0;
2023;11;26;18;139,09;114,12;0;90,00;90,01;0;122,91;107,53;0;
2023;11;26;19;156,48;147,03;0;126,86;143,00;0;141,76;144,02;0;
2023;11;26;20;145,99;143,30;0;117,33;138,00;0;135,34;139,15;0;
2023;11;26;21;137,72;134,88;0;111,00;123,41;0;126,00;128,35;0;
2023;11;26;22;126,99;120,34;0;101,00;111,11;0;112,56;114,70;0;
2023;11;26;23;118,79;115,25;0;102,14;107,30;0;107,82;113,30;0;
2023;11;26;24;103,90;103,90;0;94,60;99,10;0;99,69;100,83;0;
;;;;;;;;;;;;;
