OMIE - Mercado de electricidad;Fecha Emisión :03/06/2023 - 02:52;;02/06/2023;Precios Máximos, Mínimos y Medios ponderados del Mercado Continuo para cada una de las horas;;;;

Año;Mes;Día;Hora;MáximoES;MáximoPT;MáximoMO;MínimoES;MínimoPT;MínimoMO;MedioES;MedioPT;MedioMO;
2023;6;2;1;93,66;93,66;0;80,61;89,51;0;85,74;93,22;0;
2023;6;2;2;92,62;85,10;0;75,10;79,86;0;81,96;82,27;0;
2023;6;2;3;88,58;88,58;0;69,46;75,80;0;77,27;78,20;0;
2023;6;2;4;88,00;82,00;0;69,30;75,80;0;76,19;78,66;0;
2023;6;2;5;85,84;79,80;0;65,26;70,27;0;74,07;79,05;0;
2023;6;2;6;91,58;91,58;0;60,00;58,00;0;70,31;64,29;0;
2023;6;2;7;92,08;85,00;0;55,00;54,08;0;71,29;61,55;0;
2023;6;2;8;98,17;99,41;0;85,97;88,72;0;92,55;95,23;0;
2023;6;2;9;98,30;97,45;0;76,70;91,31;0;92,31;94,34;0;
2023;6;2;10;92,00;87,38;0;80,00;85,00;0;84,62;85,28;0;
2023;6;2;11;89,82;88,93;0;72,19;85,00;0;82,61;87,13;0;
2023;6;2;12;86,66;83,26;0;66,91;74,97;0;80,58;82,51;0;
2023;6;2;13;100,85;100,85;0;61,52;99,29;0;93,22;100,06;0;
2023;6;2;14;100,29;100,29;0;60,30;77,51;0;85,57;85,80;0;
2023;6;2;15;99,10;83,23;0;55,00;60,98;0;75,96;77,40;0;
2023;6;2;16;92,77;85,16;0;57,12;58,50;0;76,11;77,53;0;
2023;6;2;17;96,90;96,90;0;61,75;65,15;0;76,76;77,76;0;
2023;6;2;18;89,00;87,78;0;73,90;75,12;0;80,10;76,68;0;
2023;6;2;19;85,80;84,60;0;75,71;75,82;0;81,77;77,71;0;
2023;6;2;20;98,00;89,50;0;76,61;89,39;0;85,69;89,49;0;
2023;6;2;21;108,75;105,44;0;93,07;92,79;0;99,45;100,16;0;
2023;6;2;22;113,03;105,53;0;95,50;103,33;0;102,30;104,09;0;
2023;6;2;23;112,61;110,20;0;95,64;96,74;0;102,08;103,86;0;
2023;6;2;24;108,76;108,76;0;84,50;87,92;0;97,68;100,93;0;
;;;;;;;;;;;;;
