OMIE - Mercado de electricidad;Fecha Emisión :30/11/2023 - 02:52;;29/11/2023;Precios Máximos, Mínimos y Medios ponderados del Mercado Continuo para cada una de las horas;;;;

Año;Mes;Día;Hora;MáximoES;MáximoPT;MáximoMO;MínimoES;MínimoPT;MínimoMO;MedioES;MedioPT;MedioMO;
2023;11;29;1;97,11;90,50;0;87,07;90,50;0;91,25;90,50;0;
2023;11;29;2;95,10;88,56;0;79,99;86,06;0;88,11;87,38;0;
2023;11;29;3;92,16;89,00;0;79,99;82,35;0;86,10;86,24;0;
2023;11;29;4;90,12;85,00;0;46,00;46,03;0;73,53;66,00;0;
2023;11;29;5;86,24;79,83;0;66,00;67,13;0;74,23;77,95;0;
2023;11;29;6;95,70;95,70;0;66,88;66,88;0;74,22;76,54;0;
2023;11;29;7;105,10;90,12;0;67,25;67,25;0;88,02;74,68;0;
2023;11;29;8;128,01;99,43;0;86,13;86,13;0;99,85;92,25;0;
2023;11;29;9;146,94;111,55;0;88,78;88,78;0;102,74;96,51;0;
2023;11;29;10;143,34;101,95;0;89,32;89,32;0;102,50;96,98;0;
2023;11;29;11;134,20;100,28;0;88,35;88,35;0;97,94;92,96;0;
2023;11;29;12;130,01;90,12;0;79,78;79,78;0;88,41;84,75;0;
2023;11;29;13;128,40;73,03;0;65,00;73,03;0;80,03;73,03;0;
2023;11;29;14;128,82;77,50;0;62,00;67,99;0;81,15;72,55;0;
2023;11;29;15;144,68;73,34;0;57,82;58,06;0;74,18;61,45;0;
2023;11;29;16;169,10;63,30;0;51,00;56,30;0;71,05;60,93;0;
2023;11;29;17;205,01;77,57;0;69,54;69,56;0;83,06;73,33;0;
2023;11;29;18;260,01;100,25;0;85,92;90,49;0;104,60;95,05;0;
2023;11;29;19;261,00;106,55;0;91,23;95,47;0;117,99;101,22;0;
2023;11;29;20;208,14;106,65;0;90,12;94,01;0;110,93;99,60;0;
2023;11;29;21;161,30;115,20;0;91,27;95,32;0;111,97;104,26;0;
2023;11;29;22;135,97;99,20;0;89,76;94,12;0;103,86;96,13;0;
2023;11;29;23;128,50;105,65;0;85,64;85,64;0;100,50;92,30;0;
2023;11;29;24;114,55;88,01;0;68,15;68,15;0;91,17;81,98;0;
;;;;;;;;;;;;;
