OMIE - Mercado de electricidad;Fecha Emisión :09/03/2023 - 01:26;;08/03/2023;Precios Máximos, Mínimos y Medios ponderados del Mercado Continuo para cada una de las horas;;;;

Año;Mes;Día;Hora;MáximoES;MáximoPT;MáximoMO;MínimoES;MínimoPT;MínimoMO;MedioES;MedioPT;MedioMO;
2023;3;8;1;107,10;0;0;92,30;0;0;96,77;0;0;
2023;3;8;2;104,99;0;0;82,00;0;0;92,12;0;0;
2023;3;8;3;117,01;0;0;80,14;0;0;103,16;0;0;
2023;3;8;4;117,01;81,21;0;80,14;81,21;0;100,02;81,21;0;
2023;3;8;5;122,24;81,21;0;79,68;81,14;0;99,37;81,18;0;
2023;3;8;6;122,44;81,21;0;81,00;81,00;0;101,89;81,12;0;
2023;3;8;7;144,00;0;0;85,00;0;0;95,53;0;0;
2023;3;8;8;128,71;0;0;106,01;0;0;115,25;0;0;
2023;3;8;9;169,75;0;0;92,25;0;0;116,51;0;0;
2023;3;8;10;154,04;0;0;95,02;0;0;112,44;0;0;
2023;3;8;11;144,28;91,50;0;71,70;90,51;0;104,68;91,04;0;
2023;3;8;12;103,94;81,21;0;35,01;35,01;0;84,45;75,71;0;
2023;3;8;13;85,20;75,00;0;15,17;15,17;0;61,21;47,56;0;
2023;3;8;14;91,00;74,80;0;39,50;39,50;0;73,60;72,61;0;
2023;3;8;15;72,00;23,90;0;-1,00;23,89;0;31,05;23,90;0;
2023;3;8;16;62,20;55,69;0;0;10,20;0;20,38;10,97;0;
2023;3;8;17;85,00;77,63;0;20,01;45,91;0;68,61;66,27;0;
2023;3;8;18;90,79;90,79;0;50,10;69,00;0;82,18;84,19;0;
2023;3;8;19;97,20;82,00;0;69,93;80,00;0;83,68;80,00;0;
2023;3;8;20;127,30;125,48;0;120,23;124,17;0;125,10;125,15;0;
2023;3;8;21;143,79;139,80;0;98,32;127,40;0;130,52;129,61;0;
2023;3;8;22;149,21;145,11;0;100,00;100,00;0;131,78;126,37;0;
2023;3;8;23;129,18;128,40;0;95,00;110,00;0;122,35;121,65;0;
2023;3;8;24;122,00;106,03;0;40,00;40,00;0;107,79;73,63;0;
;;;;;;;;;;;;;
