OMIE - Mercado de electricidad;Fecha Emisión :28/01/2023 - 03:10;;27/01/2023;Precios Máximos, Mínimos y Medios ponderados del Mercado Continuo para cada una de las horas;;;;

Año;Mes;Día;Hora;MáximoES;MáximoPT;MáximoMO;MínimoES;MínimoPT;MínimoMO;MedioES;MedioPT;MedioMO;
2023;1;27;1;66,50;0;0;30,00;0;0;46,08;0;0;
2023;1;27;2;84,47;84,47;0;44,00;48,20;0;54,79;83,22;0;
2023;1;27;3;53,97;53,97;0;31,69;35,89;0;40,45;47,85;0;
2023;1;27;4;53,30;33,47;0;29,27;33,47;0;38,11;33,47;0;
2023;1;27;5;99,99;99,99;0;26,00;30,00;0;34,31;32,70;0;
2023;1;27;6;82,37;82,37;0;31,69;35,69;0;38,87;36,89;0;
2023;1;27;7;89,09;89,09;0;20,00;21,47;0;37,95;37,90;0;
2023;1;27;8;64,69;49,89;0;40,25;49,89;0;47,19;49,89;0;
2023;1;27;9;84,37;84,37;0;59,44;68,57;0;68,98;69,21;0;
2023;1;27;10;84,37;84,37;0;49,62;57,82;0;64,31;70,14;0;
2023;1;27;11;58,75;58,75;0;40,00;46,55;0;47,49;47,21;0;
2023;1;27;12;84,37;84,37;0;11,21;11,21;0;33,00;32,96;0;
2023;1;27;13;69,97;69,97;0;16,22;25,00;0;35,51;36,77;0;
2023;1;27;14;90,00;90,00;0;20,00;24,00;0;46,37;47,63;0;
2023;1;27;15;76,17;76,17;0;0,01;74,37;0;38,31;75,24;0;
2023;1;27;16;30,00;22,16;0;-50,00;18,00;0;14,36;21,85;0;
2023;1;27;17;84,77;84,77;0;1,00;4,99;0;23,12;20,64;0;
2023;1;27;18;87,07;87,07;0;22,79;22,79;0;46,75;54,87;0;
2023;1;27;19;84,37;84,37;0;40,00;44,43;0;50,39;49,78;0;
2023;1;27;20;98,00;87,00;0;78,00;78,20;0;82,13;85,15;0;
2023;1;27;21;98,95;90,00;0;75,00;82,21;0;88,43;89,62;0;
2023;1;27;22;104,86;102,57;0;70,00;78,01;0;86,78;91,21;0;
2023;1;27;23;91,41;91,41;0;55,03;55,03;0;70,26;69,03;0;
2023;1;27;24;59,67;56,59;0;4,70;4,70;0;33,15;36,07;0;
;;;;;;;;;;;;;
