OMIE - Mercado de electricidad;Fecha Emisión :27/05/2023 - 02:26;;26/05/2023;Precios Máximos, Mínimos y Medios ponderados del Mercado Continuo para cada una de las horas;;;;

Año;Mes;Día;Hora;MáximoES;MáximoPT;MáximoMO;MínimoES;MínimoPT;MínimoMO;MedioES;MedioPT;MedioMO;
2023;5;26;1;87,89;78,55;0;74,00;74,19;0;79,65;75,58;0;
2023;5;26;2;79,46;64,33;0;50,00;60,00;0;66,87;62,40;0;
2023;5;26;3;77,05;64,33;0;57,30;56,80;0;62,72;58,98;0;
2023;5;26;4;61,57;55,98;0;41,00;47,11;0;51,50;52,86;0;
2023;5;26;5;66,30;56,13;0;30,60;52,70;0;51,16;52,93;0;
2023;5;26;6;68,38;57,00;0;45,35;53,33;0;53,29;55,33;0;
2023;5;26;7;92,21;0;0;65,13;0;0;74,88;0;0;
2023;5;26;8;98,60;93,00;0;85,50;79,10;0;93,13;86,33;0;
2023;5;26;9;94,27;92,01;0;71,07;71,07;0;86,54;81,20;0;
2023;5;26;10;84,87;72,90;0;57,37;64,33;0;70,38;69,71;0;
2023;5;26;11;55,11;53,33;0;10,10;38,00;0;41,53;42,06;0;
2023;5;26;12;48,99;39,00;0;4,26;10,91;0;28,86;25,44;0;
2023;5;26;13;34,00;23,30;0;0,30;22,79;0;21,01;23,17;0;
2023;5;26;14;20,00;19,95;0;-2,84;19,40;0;9,97;19,84;0;
2023;5;26;15;7,40;1,20;0;-11,20;1,20;0;-2,38;1,20;0;
2023;5;26;16;7,17;4,17;0;-7,00;-6,88;0;-2,48;-5,21;0;
2023;5;26;17;35,00;15,00;0;-4,00;7,50;0;13,33;9,05;0;
2023;5;26;18;55,90;47,23;0;28,70;39,75;0;44,00;43,50;0;
2023;5;26;19;77,30;63,06;0;53,00;53,00;0;64,09;54,63;0;
2023;5;26;20;95,00;82,81;0;69,42;79,44;0;82,92;81,04;0;
2023;5;26;21;120,50;105,61;0;79,93;79,92;0;100,47;99,68;0;
2023;5;26;22;130,00;130,00;0;101,65;120,70;0;120,89;124,64;0;
2023;5;26;23;130,00;126,19;0;104,08;117,23;0;117,57;122,04;0;
2023;5;26;24;114,49;110,80;0;75,61;103,10;0;87,70;104,78;0;
;;;;;;;;;;;;;
