Year,Month,Day,Hour,Price1,Hour_Sin,Hour_Cos,Day_Sin,Day_Cos,Month_Sin,Month_Cos,Year_Scaled,Price2
2024,3.0,24.0,1.0,0.16,0.25881904510252074,0.9659258262890683,-0.9884683243281114,0.15142777750457667,1.0,6.123233995736766e-17,0.7000000000000001,0.22
2024,3.0,24.0,2.0,0.0,0.49999999999999994,0.8660254037844387,-0.9884683243281114,0.15142777750457667,1.0,6.123233995736766e-17,0.7000000000000001,2.25
2024,3.0,24.0,3.0,0.0,0.7071067811865475,0.7071067811865476,-0.9884683243281114,0.15142777750457667,1.0,6.123233995736766e-17,0.7000000000000001,-1.39
2024,3.0,24.0,4.0,0.0,0.8660254037844386,0.5000000000000001,-0.9884683243281114,0.15142777750457667,1.0,6.123233995736766e-17,0.7000000000000001,0.9
2024,3.0,24.0,5.0,0.0,0.9659258262890683,0.25881904510252074,-0.9884683243281114,0.15142777750457667,1.0,6.123233995736766e-17,0.7000000000000001,1.79
2024,3.0,24.0,6.0,0.0,1.0,6.123233995736766e-17,-0.9884683243281114,0.15142777750457667,1.0,6.123233995736766e-17,0.7000000000000001,-2.67
2024,3.0,24.0,7.0,0.01,0.9659258262890683,-0.25881904510252063,-0.9884683243281114,0.15142777750457667,1.0,6.123233995736766e-17,0.7000000000000001,-3.43
2024,3.0,24.0,8.0,0.1,0.8660254037844387,-0.4999999999999998,-0.9884683243281114,0.15142777750457667,1.0,6.123233995736766e-17,0.7000000000000001,-4.61
2024,3.0,24.0,9.0,0.0,0.7071067811865476,-0.7071067811865475,-0.9884683243281114,0.15142777750457667,1.0,6.123233995736766e-17,0.7000000000000001,-9.52
2024,3.0,24.0,10.0,0.0,0.49999999999999994,-0.8660254037844387,-0.9884683243281114,0.15142777750457667,1.0,6.123233995736766e-17,0.7000000000000001,-14.78
2024,3.0,24.0,11.0,0.0,0.258819045102521,-0.9659258262890682,-0.9884683243281114,0.15142777750457667,1.0,6.123233995736766e-17,0.7000000000000001,-12.32
2024,3.0,24.0,12.0,0.0,1.2246467991473532e-16,-1.0,-0.9884683243281114,0.15142777750457667,1.0,6.123233995736766e-17,0.7000000000000001,-10.53
2024,3.0,24.0,13.0,0.0,-0.2588190451025208,-0.9659258262890683,-0.9884683243281114,0.15142777750457667,1.0,6.123233995736766e-17,0.7000000000000001,-10.8
2024,3.0,24.0,14.0,0.0,-0.4999999999999997,-0.8660254037844388,-0.9884683243281114,0.15142777750457667,1.0,6.123233995736766e-17,0.7000000000000001,-13.01
2024,3.0,24.0,15.0,0.0,-0.7071067811865471,-0.7071067811865479,-0.9884683243281114,0.15142777750457667,1.0,6.123233995736766e-17,0.7000000000000001,-13.71
2024,3.0,24.0,16.0,0.0,-0.8660254037844384,-0.5000000000000004,-0.9884683243281114,0.15142777750457667,1.0,6.123233995736766e-17,0.7000000000000001,-8.51
2024,3.0,24.0,17.0,0.0,-0.9659258262890683,-0.25881904510252063,-0.9884683243281114,0.15142777750457667,1.0,6.123233995736766e-17,0.7000000000000001,-2.73
2024,3.0,24.0,18.0,0.43,-1.0,-1.8369701987210297e-16,-0.9884683243281114,0.15142777750457667,1.0,6.123233995736766e-17,0.7000000000000001,1.54
2024,3.0,24.0,19.0,3.2,-0.9659258262890684,0.2588190451025203,-0.9884683243281114,0.15142777750457667,1.0,6.123233995736766e-17,0.7000000000000001,10.2
2024,3.0,24.0,20.0,16.7,-0.8660254037844386,0.5000000000000001,-0.9884683243281114,0.15142777750457667,1.0,6.123233995736766e-17,0.7000000000000001,-3.15
2024,3.0,24.0,21.0,34.27,-0.7071067811865477,0.7071067811865474,-0.9884683243281114,0.15142777750457667,1.0,6.123233995736766e-17,0.7000000000000001,19.17
2024,3.0,24.0,22.0,34.27,-0.5000000000000004,0.8660254037844384,-0.9884683243281114,0.15142777750457667,1.0,6.123233995736766e-17,0.7000000000000001,34.79
2024,3.0,24.0,23.0,35.0,-0.25881904510252157,0.9659258262890681,-0.9884683243281114,0.15142777750457667,1.0,6.123233995736766e-17,0.7000000000000001,27.29
2024,3.0,24.0,24.0,28.35,-2.4492935982947064e-16,1.0,-0.9884683243281114,0.15142777750457667,1.0,6.123233995736766e-17,0.7000000000000001,23.19
2024,3.0,19.0,1.0,69.14,0.25881904510252074,0.9659258262890683,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17,0.7000000000000001,71.24
2024,3.0,19.0,2.0,65.06,0.49999999999999994,0.8660254037844387,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17,0.7000000000000001,62.01
2024,3.0,19.0,3.0,58.13,0.7071067811865475,0.7071067811865476,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17,0.7000000000000001,50.81
2024,3.0,19.0,4.0,56.18,0.8660254037844386,0.5000000000000001,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17,0.7000000000000001,50.83
2024,3.0,19.0,5.0,53.0,0.9659258262890683,0.25881904510252074,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17,0.7000000000000001,49.44
2024,3.0,19.0,6.0,58.76,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17,0.7000000000000001,57.65
2024,3.0,19.0,7.0,70.5,0.9659258262890683,-0.25881904510252063,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17,0.7000000000000001,74.5
2024,3.0,19.0,8.0,91.0,0.8660254037844387,-0.4999999999999998,-0.651372482722222,-0.7587581226927911,1.0,6.123233995736766e-17,0.7000000000000001,105.23
