"Status";"Gas Day Start";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Technical Capacity (TWh)";"Injection capacity (GWh/d)";"Withdrawal capacity (GWh/d)"
"C";"2023-11-13";"1133.4052";"99.29";"-0.08";"260.99";"1124.4";"1141.4677";"11856.59";"20027.97"
"C";"2023-11-12";"1134.2922";"99.37";"0.01";"461.73";"380.1";"1141.4677";"11876.59";"20099.37"
"C";"2023-11-11";"1134.2299";"99.37";"0.01";"530.17";"377.1";"1141.4677";"11876.59";"20099.36"
"C";"2023-11-10";"1134.0909";"99.35";"-0.05";"248.03";"748.4";"1141.4677";"11876.61";"20099.31"
"C";"2023-11-09";"1134.6145";"99.4";"-0.04";"337.7";"759.6";"1141.4382";"11876.62";"19974.29"
"C";"2023-11-08";"1135.0599";"99.44";"-0.04";"282.52";"755";"1141.4382";"11876.62";"19974.29"
"C";"2023-11-07";"1135.5505";"99.48";"-0.02";"276.45";"456.5";"1141.4382";"11861.63";"19920.72"
"C";"2023-11-06";"1135.7301";"99.5";"0.01";"483.43";"388.7";"1141.4672";"11856.63";"19902.86"
"C";"2023-11-05";"1135.64";"99.5";"0.07";"996.4";"181.5";"1141.3236";"11876.63";"19974.26"
"C";"2023-11-04";"1134.821";"99.43";"0.05";"859.41";"247.8";"1141.3236";"11876.63";"19974.25"
"C";"2023-11-03";"1134.215";"99.38";"0.01";"535.44";"413.3";"1141.3226";"11876.69";"19974.11"
"C";"2023-11-02";"1134.0711";"99.37";"0.08";"1101.08";"227.5";"1141.2936";"11861.75";"19920.4"
"C";"2023-11-01";"1133.1705";"99.29";"0.13";"1590.62";"145.4";"1141.2936";"11856.81";"19902.38"
"C";"2023-10-31";"1131.7";"99.19";"0.09";"1212.45";"247.5";"1140.988";"11874.16";"19973.71"
"C";"2023-10-30";"1130.6172";"99.1";"0.09";"1252.93";"218.8";"1140.9347";"11874.19";"19973.63"
"C";"2023-10-29";"1129.5761";"99.01";"0.17";"2055.26";"98.9";"1140.8814";"11874.46";"19972.93"
"E";"2023-10-28";"1127.6216";"98.84";"0.18";"1989.77";"148.2";"1140.8282";"12074.14";"20276.45"
"C";"2023-10-27";"1125.5315";"98.66";"0.05";"1171.23";"262.1";"1140.7749";"11861.8";"19925.62"
"C";"2023-10-26";"1124.9151";"98.61";"0.06";"1018.15";"331.2";"1140.7217";"11850.94";"19885.99"
"C";"2023-10-25";"1124.2556";"98.83";"0.04";"907.73";"468.2";"1137.5767";"11854.96";"19900.22"
"C";"2023-10-24";"1123.8158";"98.53";"0.06";"1053.64";"323";"1140.6152";"11875";"19971.51"
"E";"2023-10-23";"1123.0828";"98.47";"0.05";"1011.17";"413.4";"1140.5342";"11875.01";"19971.48"
"C";"2023-10-22";"1122.4947";"98.43";"0.16";"2002.03";"165.2";"1140.4194";"11875.21";"19970.94"
"E";"2023-10-21";"1120.651";"98.27";"0.16";"2107.01";"230";"1140.3937";"11875.42";"19970.39"
"C";"2023-10-20";"1118.777";"98.11";"0.1";"1494.4";"381.9";"1140.3404";"11875.48";"19970.24"
"C";"2023-10-19";"1117.6784";"98.02";"0.06";"1121.62";"437.7";"1140.2672";"11875.03";"20096.41"
"C";"2023-10-18";"1117.0182";"97.97";"0.02";"943.13";"650.5";"1140.1239";"11866.05";"20064.25"
"C";"2023-10-17";"1116.747";"97.95";"0.02";"822.72";"603.6";"1140.0707";"11875.06";"20096.34"
"C";"2023-10-16";"1116.5055";"97.94";"0.03";"991.59";"693.9";"1140.0174";"11875.08";"20096.3"
"E";"2023-10-15";"1116.189";"97.92";"0.16";"2085.46";"252.6";"1139.9366";"11893.31";"20069.69"
"C";"2023-10-14";"1114.325";"97.76";"0.22";"2634.22";"98.3";"1139.8833";"11970.55";"19871.06"
"C";"2023-10-13";"1111.7668";"97.54";"0.21";"2554.61";"120.8";"1139.83";"11970.8";"19870.4"
"C";"2023-10-12";"1109.3281";"97.33";"0.14";"1856.67";"229.4";"1139.8044";"11970.95";"19870"
"C";"2023-10-11";"1107.6803";"97.19";"0.16";"2010.25";"146.8";"1139.6711";"11962.18";"19837.27"
"C";"2023-10-10";"1105.8517";"97.04";"0.14";"1714.7";"173.7";"1139.5929";"11971.4";"19868.8"
"C";"2023-10-09";"1104.2411";"96.96";"0.09";"1418.77";"342.9";"1138.8056";"11971.56";"19868.38"
"E";"2023-10-08";"1103.1731";"96.88";"0.15";"1872.32";"237.3";"1138.7248";"11971.62";"19868.24"
"C";"2023-10-07";"1101.4785";"96.73";"0.17";"2131.45";"233.2";"1138.6715";"11971.68";"19868.07"
"C";"2023-10-06";"1099.4933";"96.56";"0.16";"1910.93";"155.6";"1138.6779";"11971.91";"19867.45"
"E";"2023-10-05";"1097.6489";"96.41";"0.07";"1217.97";"481.3";"1138.547";"11971.74";"19867.9"
"C";"2023-10-04";"1096.8171";"96.34";"0.14";"1742.92";"211.7";"1138.4937";"11732.72";"19547.92"
"C";"2023-10-03";"1095.1852";"96.2";"0.19";"2200.91";"138.3";"1138.4642";"11547.05";"19336.57"
"C";"2023-10-02";"1093.0381";"96.02";"0.16";"1883.82";"189";"1138.3589";"11564.75";"19358.7"
"E";"2023-10-01";"1091.2594";"95.87";"0.21";"2592.54";"186.4";"1138.3057";"11971.99";"19867.25"
"E";"2023-09-30";"1088.9028";"95.5";"0.04";"2737.03";"198";"1140.2473";"12030.68";"19889.4"
"C";"2023-09-29";"1088.4738";"95.28";"0.14";"2066.12";"415.4";"1142.3373";"12017.69";"19842.95"
"C";"2023-09-28";"1086.86";"95.15";"0.12";"1827.77";"429.8";"1142.2773";"12006.69";"19803.68"
"E";"2023-09-27";"1085.5238";"95.03";"0.13";"1841.22";"310.5";"1142.3173";"12006.69";"19803.68"
"C";"2023-09-26";"1084.0457";"94.9";"0.1";"1557.34";"394.7";"1142.2773";"12006.69";"19803.68"
"C";"2023-09-25";"1082.9236";"94.8";"0.12";"1723.78";"424.1";"1142.2773";"12009.69";"19814.39"
"C";"2023-09-24";"1081.5512";"94.68";"0.2";"2422.38";"248.5";"1142.2773";"12030.69";"19889.36"
"C";"2023-09-23";"1079.3006";"94.49";"0.18";"2209.54";"276.3";"1142.2773";"12030.69";"19889.37"
"C";"2023-09-22";"1077.2962";"94.32";"0.12";"1693.14";"374.2";"1142.1261";"12030.69";"19889.37"
"C";"2023-09-21";"1075.9085";"94.2";"0.09";"1343.54";"378.1";"1142.1261";"12017.76";"19889.18"
"C";"2023-09-20";"1074.8786";"94.11";"0.07";"1371.45";"514.2";"1142.1261";"12009.76";"19889.18"
"C";"2023-09-19";"1074.0245";"94.06";"0.09";"1552.3";"545.8";"1141.8467";"12030.76";"19889.18"
"C";"2023-09-18";"1073.0119";"93.96";"0.09";"1413.14";"429.4";"1141.9367";"12030.77";"19889.16"
"C";"2023-09-17";"1071.9672";"93.87";"0.13";"1863.93";"427.4";"1141.9367";"12030.77";"19889.15"
"C";"2023-09-16";"1070.4533";"93.74";"0.1";"1580.71";"508.4";"1141.9367";"12030.77";"19889.15"
"C";"2023-09-15";"1069.3148";"93.65";"0.06";"1196.77";"594.8";"1141.8507";"12030.77";"19889.15"
"C";"2023-09-14";"1068.6707";"93.59";"0.01";"933.22";"763.8";"1141.8507";"12033.82";"19892.79"
"E";"2023-09-13";"1068.548";"93.58";"0.01";"989.58";"916.5";"1141.8447";"12024.8";"19871.71"
"E";"2023-09-12";"1068.4304";"93.57";"0";"1098.22";"1150";"1141.8447";"12033.7";"19904.1"
"E";"2023-09-11";"1068.441";"93.57";"0.04";"1182.56";"823.5";"1141.8447";"12033.7";"19904.1"
"C";"2023-09-10";"1068.0361";"93.54";"0.11";"1821.82";"639.4";"1141.8447";"12033.7";"19904.1"
"C";"2023-09-09";"1066.7721";"93.43";"0.12";"1888.77";"589.3";"1141.8447";"12033.7";"19904.1"
"C";"2023-09-08";"1065.4022";"93.31";"0.06";"1462.96";"824.9";"1141.8447";"12033.69";"19904.12"
"C";"2023-09-07";"1064.7107";"93.25";"0.06";"1443.57";"840.6";"1141.7367";"12033.69";"19904.12"
"C";"2023-09-06";"1064.0754";"93.2";"0.05";"1261.37";"699.5";"1141.7367";"12020.71";"19904.08"
"C";"2023-09-05";"1063.4788";"93.15";"0.09";"1527.77";"544.3";"1141.6267";"12008.13";"19901.11"
"E";"2023-09-04";"1062.4538";"93.06";"0.11";"1647.23";"430";"1141.6267";"12011.95";"19902.17"
"E";"2023-09-03";"1061.1745";"92.95";"0.19";"2531.3";"391.1";"1141.6267";"12032.96";"19902.15"
"E";"2023-09-02";"1058.9702";"92.76";"0.17";"2441.77";"396.1";"1141.6267";"12032.96";"19902.15"
"E";"2023-09-01";"1057.0346";"92.73";"0.17";"1870.5";"372.4";"1139.8653";"12032.96";"19902.15"
"C";"2023-08-31";"1055.1335";"92.8";"0.02";"1605.19";"1581.1";"1137.0223";"12070.71";"19903.74"
"E";"2023-08-30";"1054.8582";"92.65";"0.1";"1545.49";"495";"1138.5449";"12061.73";"19871.56"
"C";"2023-08-29";"1053.7757";"92.55";"0.06";"1398.88";"811.6";"1138.5449";"12070.74";"19903.67"
"E";"2023-08-28";"1053.1458";"92.5";"0.12";"1753.29";"440.2";"1138.5449";"12070.85";"19903.38"
"C";"2023-08-27";"1051.7847";"92.38";"0.22";"2568.79";"143.4";"1138.5449";"12070.97";"19903.05"
"C";"2023-08-26";"1049.3046";"92.16";"0.19";"2372.92";"234.6";"1138.5449";"12071.09";"19902.74"
"C";"2023-08-25";"1047.132";"91.97";"0.15";"1994.83";"258.4";"1138.5449";"12071.21";"19902.41"
"C";"2023-08-24";"1045.3702";"91.82";"0.13";"1812.71";"321.5";"1138.5449";"12071.2";"19902.44"
"C";"2023-08-23";"1043.8583";"91.71";"0.24";"1944.08";"268.9";"1138.1965";"12062.32";"19870.01"
"C";"2023-08-22";"1041.1774";"91.48";"0.07";"2068.77";"341.6";"1138.1965";"12071.44";"19901.83"
"C";"2023-08-21";"1040.4294";"91.41";"0.21";"2702.33";"278.6";"1138.1965";"12071.59";"19901.42"
"C";"2023-08-20";"1037.9875";"91.2";"0.29";"3442.77";"204.2";"1138.1969";"12071.59";"19901.43"
"C";"2023-08-19";"1034.6734";"90.9";"0.31";"3734.5";"234.3";"1138.1969";"12071.77";"19900.94"
"C";"2023-08-18";"1031.1039";"90.59";"0.3";"3470.54";"96.7";"1138.1969";"12071.96";"19900.44"
"C";"2023-08-17";"1027.6695";"90.29";"0.29";"3349.23";"120.7";"1138.1969";"12071.74";"19901.01"
"C";"2023-08-16";"1024.365";"90";"0.27";"3210.37";"158";"1138.2208";"12062.84";"19868.62"
"C";"2023-08-15";"1021.2976";"89.73";"0.28";"3324.19";"158.1";"1138.1658";"12072.03";"19900.26"
"C";"2023-08-14";"1018.0724";"89.59";"0.31";"3537.6";"91.3";"1136.3558";"12072.13";"19899.99"
"C";"2023-08-13";"1014.563";"89.3";"0.36";"4096.73";"69";"1136.1759";"12072.34";"19899.44"
"C";"2023-08-12";"1010.4651";"88.94";"0.37";"4248.35";"73.2";"1136.1241";"12072.56";"19898.86"
"C";"2023-08-11";"1006.2534";"88.57";"0.31";"3573.91";"121.4";"1136.1241";"12072.74";"19898.38"
"C";"2023-08-10";"1002.7488";"88.28";"0.27";"3163.92";"181.5";"1135.9241";"12072.66";"19898.59"
"C";"2023-08-09";"999.7139";"88.01";"0.27";"3236.93";"181.8";"1135.9241";"12063.8";"19866.09"
"C";"2023-08-08";"996.6019";"87.73";"0.3";"3379";"59.8";"1135.9241";"12072.98";"19897.75"
"C";"2023-08-07";"993.1994";"87.44";"0.3";"3397.06";"65.6";"1135.9241";"12073.11";"19897.4"
"E";"2023-08-06";"989.815";"87.14";"0.32";"3633.92";"40.9";"1135.9241";"12073.25";"19897.03"
"C";"2023-08-05";"986.1717";"86.82";"0.31";"3484.32";"85.7";"1135.9241";"12073.39";"19896.66"
"E";"2023-08-04";"982.6704";"86.51";"0.22";"2760.48";"251.7";"1135.9241";"12073.4";"19901.96"
"C";"2023-08-03";"980.1497";"86.29";"0.27";"3057.63";"99.7";"1135.9241";"12073.46";"19896.48"
"C";"2023-08-02";"977.1058";"86.03";"0.29";"3324.4";"84.9";"1135.7101";"12070.72";"19896.29"
"C";"2023-08-01";"973.8457";"85.75";"0.17";"3188.82";"1305.2";"1135.7101";"12070.86";"19895.94"
"C";"2023-07-31";"971.8749";"85.86";"0.3";"3524.21";"155.1";"1131.8931";"11961.07";"19821"
"C";"2023-07-30";"968.4296";"85.56";"0.38";"4314.71";"36";"1131.8681";"12001.16";"19885.51"
"C";"2023-07-29";"964.0784";"85.18";"0.37";"4186.83";"35.4";"1131.8681";"12001.33";"19885.06"
"C";"2023-07-28";"959.8771";"84.8";"0.25";"3001.98";"177.4";"1131.8681";"12001.4";"19884.87"
"C";"2023-07-27";"956.9953";"84.55";"0.26";"2997.49";"104.6";"1131.8681";"12001.38";"19884.94"
"C";"2023-07-26";"954.0391";"84.29";"0.27";"3020.3";"80.5";"1131.8681";"11992.5";"19852.49"
"C";"2023-07-25";"951.0385";"84.02";"0.25";"2834.91";"116.7";"1131.8681";"12001.57";"19884.42"
"C";"2023-07-24";"948.1978";"83.77";"0.26";"3006.29";"139.5";"1131.8681";"12001.67";"19884.16"
"C";"2023-07-23";"945.2491";"83.51";"0.37";"4124.94";"46.5";"1131.8681";"12001.81";"19883.81"
"C";"2023-07-22";"941.0963";"83.15";"0.34";"3915.84";"84.7";"1131.8681";"12004.49";"19887.41"
"C";"2023-07-21";"937.2209";"82.8";"0.26";"3023.88";"139.7";"1131.8681";"12004.62";"19887.07"
"C";"2023-07-20";"934.2815";"82.54";"0.22";"2656.72";"193.4";"1131.8681";"12004.63";"19887.05"
"E";"2023-07-19";"931.7633";"82.33";"0.22";"2775.91";"331.9";"1131.7441";"11994.12";"19854.58"
"C";"2023-07-18";"929.2774";"82.11";"0.23";"2836.09";"250.5";"1131.7441";"12003.26";"19886.34"
"C";"2023-07-17";"926.6251";"81.88";"0.28";"3273.27";"120.8";"1131.7441";"12003.4";"19885.97"
"E";"2023-07-16";"923.4364";"81.59";"0.38";"4264.96";"48.9";"1131.7441";"12018.66";"19885.28"
"C";"2023-07-15";"919.1439";"81.21";"0.38";"4299.31";"47.9";"1131.7441";"12018.93";"19884.58"
"C";"2023-07-14";"914.8432";"80.83";"0.29";"3421.9";"238.1";"1131.7441";"12019.14";"19884.02"
"C";"2023-07-13";"911.585";"80.55";"0.24";"2811.66";"206.1";"1131.7441";"12019.14";"19884.02"
"C";"2023-07-12";"908.914";"80.31";"0.24";"2850.68";"159";"1131.7264";"12010.27";"19851.54"
"C";"2023-07-11";"906.164";"80.14";"0.23";"2701.69";"288.4";"1130.7264";"12019.39";"19883.37"
"C";"2023-07-10";"903.6132";"79.91";"0.22";"2773.65";"276.2";"1130.7264";"12019.53";"19883"
"C";"2023-07-09";"901.1457";"79.64";"0.35";"3969.07";"89.5";"1131.5324";"12004.79";"19882.3"
"C";"2023-07-08";"897.187";"79.29";"0.36";"4042.18";"67";"1131.5324";"12005.07";"19881.57"
"C";"2023-07-07";"893.1543";"78.93";"0.3";"3385.11";"111";"1131.5324";"12005.31";"19880.93"
"C";"2023-07-06";"889.814";"78.64";"0.25";"2858.68";"123.7";"1131.5324";"12005.32";"19880.91"
"C";"2023-07-05";"887.0109";"78.39";"0.28";"3187.54";"79.5";"1131.5324";"11996.47";"19848.38"
"C";"2023-07-04";"883.8471";"78.11";"0.22";"2651.51";"168";"1131.5324";"12005.6";"19880.16"
"C";"2023-07-03";"881.3098";"77.9";"0.25";"3088.34";"283.6";"1131.3073";"12005.82";"19879.6"
"C";"2023-07-02";"878.4355";"77.65";"0.35";"4015.64";"98.4";"1131.3073";"12006.1";"19878.85"
"C";"2023-07-01";"874.4794";"77.3";"0.35";"4061.99";"116.4";"1131.3073";"12006.38";"19878.1"
"C";"2023-06-30";"870.491";"77.08";"0.26";"3172.9";"269.4";"1129.3614";"11984.62";"19877.68"
"C";"2023-06-29";"867.551";"76.82";"0.2";"2660.43";"420.9";"1129.2884";"11984.74";"19877.36"
"C";"2023-06-28";"865.28";"76.62";"0.2";"2659.3";"461.9";"1129.2884";"11975.87";"19844.9"
"C";"2023-06-27";"863.0523";"76.42";"0.22";"2831.77";"426.7";"1129.2884";"11985.11";"19876.4"
"C";"2023-06-26";"860.6019";"76.21";"0.27";"3215.51";"275.1";"1129.2884";"11985.33";"19875.8"
"C";"2023-06-25";"857.5833";"75.93";"0.36";"4018.67";"113.7";"1129.3964";"11986.38";"19876.95"
"C";"2023-06-24";"853.5544";"75.58";"0.36";"4093.82";"120.9";"1129.2884";"11945.9";"19874.32"
"C";"2023-06-23";"849.46";"75.22";"0.24";"2825.75";"281.9";"1129.2884";"11946.09";"19873.81"
"C";"2023-06-22";"846.7646";"74.98";"0.15";"2205.79";"610.1";"1129.2884";"11946.21";"19873.49"
"C";"2023-06-21";"845.078";"74.83";"0.1";"2489.63";"549.6";"1129.2884";"11937.36";"19840.97"
"C";"2023-06-20";"843.9519";"74.73";"0.28";"2643.43";"405";"1129.2884";"11946.49";"19872.75"
"C";"2023-06-19";"840.7602";"74.45";"0.26";"3032.48";"139.1";"1129.2884";"11946.66";"19872.3"
"C";"2023-06-18";"837.7829";"74.19";"0.39";"4298.59";"60.5";"1129.2884";"11946.95";"19871.53"
"C";"2023-06-17";"833.434";"73.8";"0.33";"3803.53";"209.7";"1129.2884";"11987.2";"19870.88"
"C";"2023-06-16";"829.7424";"73.47";"0.29";"3368.1";"228.1";"1129.2884";"11987.52";"19870.03"
"C";"2023-06-15";"826.5071";"73.19";"0.25";"3013.65";"320.9";"1129.2884";"11987.52";"19870.02"
"C";"2023-06-14";"823.7153";"72.94";"0.27";"3209.54";"268.1";"1129.2884";"11964.69";"19837.52"
"C";"2023-06-13";"820.6397";"72.67";"0.3";"3426.96";"154.1";"1129.2884";"11973.87";"19869.17"
"C";"2023-06-12";"817.2673";"72.37";"0.29";"3405.14";"250.6";"1129.2884";"11938.52";"19868.44"
"C";"2023-06-11";"813.9668";"72.08";"0.38";"4319.46";"99.4";"1129.2884";"11938.92";"19867.38"
"C";"2023-06-10";"809.6492";"71.7";"0.37";"4254.89";"121.7";"1129.2884";"11939.32";"19866.33"
"C";"2023-06-09";"805.4832";"71.33";"0.31";"3582.35";"197.1";"1129.2884";"11935.21";"19865.65"
"C";"2023-06-08";"801.9967";"71.02";"0.26";"3048.15";"163.5";"1129.2884";"11925";"19852.5"
"C";"2023-06-07";"799.0241";"70.75";"0.19";"2355.12";"224.1";"1129.2884";"11916.07";"19820.19"
"C";"2023-06-06";"796.8271";"70.56";"0.2";"2576.09";"374.4";"1129.2884";"11926.03";"19849.79"
"C";"2023-06-05";"794.5259";"70.36";"0.23";"2855.61";"322.8";"1129.2884";"11926.13";"19842.41"
"C";"2023-06-04";"791.9009";"70.13";"0.35";"3941.58";"106.3";"1129.2682";"11957.3";"19981.64"
"C";"2023-06-03";"787.9565";"69.78";"0.34";"3885.61";"82.5";"1129.2682";"11957.53";"19981.04"
"C";"2023-06-02";"784.0648";"69.43";"0.31";"3401.02";"181.9";"1129.2682";"11956.57";"19980.55"
"E";"2023-06-01";"780.5664";"69.05";"0.24";"3115.13";"480.4";"1130.358";"11956.12";"19979.99"
"C";"2023-05-31";"777.8543";"68.83";"0.22";"3027.6";"404.1";"1130.1434";"11945.4";"19945.46"
"C";"2023-05-30";"775.347";"68.56";"0.26";"3061.07";"393.8";"1130.8316";"11951.93";"19973.78"
"E";"2023-05-29";"772.3597";"68.3";"0.32";"3875.29";"216.6";"1130.8316";"11955.2";"19976.92"
"C";"2023-05-28";"768.7084";"67.98";"0.37";"4463.54";"113";"1130.8316";"11955.53";"19976.06"
"C";"2023-05-27";"764.5046";"67.61";"0.39";"4235.15";"125.3";"1130.8316";"11955.92";"19975.03"
"C";"2023-05-26";"760.0434";"67.21";"0.32";"3716.2";"219.2";"1130.8316";"11956.22";"19974.25"
"C";"2023-05-25";"756.4485";"66.89";"0.25";"2988.19";"365.8";"1130.8316";"11956.25";"19974.16"
"C";"2023-05-24";"753.64";"66.64";"0.23";"2896.36";"446.2";"1130.8316";"11947.41";"19941.61"
"C";"2023-05-23";"751.0923";"66.42";"0.26";"3192.14";"356.9";"1130.8316";"11956.7";"19972.98"
"C";"2023-05-22";"748.1494";"66.16";"0.27";"3133.01";"244.1";"1130.8316";"11957.13";"19971.84"
"C";"2023-05-21";"745.1257";"65.89";"0.43";"4808.08";"56.3";"1130.8316";"11997.6";"19970.59"
"C";"2023-05-20";"740.2532";"65.46";"0.42";"4676.39";"72.9";"1130.8316";"11998.08";"19969.33"
"C";"2023-05-19";"735.52";"65.04";"0.32";"3676.82";"131.5";"1130.8316";"11998.51";"19968.18"
"C";"2023-05-18";"731.8914";"64.82";"0.3";"3449.63";"115.7";"1129.0713";"11958.73";"19967.61"
"C";"2023-05-17";"728.5457";"64.53";"0.27";"3370.01";"431.8";"1129.0713";"11949.92";"19934.99"
"C";"2023-05-16";"725.5067";"64.25";"0.27";"2955.08";"287.1";"1129.1157";"11959.19";"19964.6"
"C";"2023-05-15";"722.504";"63.9";"0.28";"3305.36";"150.3";"1130.6387";"11977.24";"19947.83"
"C";"2023-05-14";"719.2941";"63.71";"0.4";"4482.98";"73";"1129.0942";"11960.12";"19602.58"
"C";"2023-05-13";"714.7887";"63.31";"0.4";"4531.27";"113.4";"1129.1151";"11960.57";"19601.38"
"C";"2023-05-12";"710.2775";"62.91";"0.26";"3371.44";"306.1";"1129.1151";"12000.93";"19600.44"
"C";"2023-05-11";"707.3034";"62.64";"0.22";"2720.93";"365.6";"1129.1151";"12000.41";"19601.81"
"C";"2023-05-10";"704.8702";"62.43";"0.21";"2632.26";"313.3";"1129.1151";"11991.59";"19569.22"
"C";"2023-05-09";"702.4646";"62.21";"0.21";"2678.52";"335.7";"1129.1151";"12000.78";"19960.84"
"E";"2023-05-08";"700.0501";"62";"0.28";"3478";"309.4";"1129.1618";"12001.07";"19960.08"
"C";"2023-05-07";"696.8523";"61.71";"0.36";"4286.34";"171.4";"1129.1618";"12001.4";"19959.19"
"C";"2023-05-06";"692.7355";"61.35";"0.35";"4149.65";"155.7";"1129.1618";"12001.7";"19958.41"
"C";"2023-05-05";"688.766";"61";"0.3";"3653.92";"254.3";"1129.1618";"12001.97";"19957.68"
"C";"2023-05-04";"685.3646";"60.7";"0.21";"3474.88";"1101.5";"1129.1618";"12001.97";"19957.69"
"E";"2023-05-03";"682.9928";"60.5";"0.23";"2959.29";"340.1";"1128.8818";"11992.36";"19924.23"
"E";"2023-05-02";"680.3856";"60.27";"0.22";"3011";"482.4";"1128.8818";"12002.48";"19956.61"
"C";"2023-05-01";"677.85";"60.05";"0.36";"4221.14";"185.5";"1128.7318";"11997.46";"19955.89"
"E";"2023-04-30";"673.7924";"59.73";"0.39";"4439.94";"107.6";"1128.0458";"11913.08";"20022.8"
"C";"2023-04-29";"669.4202";"59.29";"0.35";"4090.07";"189.2";"1129.0285";"11910.27";"20021.57"
"C";"2023-04-28";"665.5249";"58.95";"0.23";"3041.57";"388.5";"1129.0285";"11910.38";"20021.29"
"C";"2023-04-27";"662.9205";"58.72";"0.17";"2413.21";"479.8";"1129.0285";"11909.46";"20023.7"
"C";"2023-04-26";"660.9714";"58.54";"0.1";"2044.93";"948.9";"1129.0285";"11900.49";"19991.5"
"C";"2023-04-25";"659.8699";"58.45";"0.22";"3005.08";"632.2";"1129.0285";"11909.66";"20023.19"
"C";"2023-04-24";"657.3483";"58.22";"0.28";"3456.62";"271.4";"1129.0285";"11909.74";"20022.97"
"C";"2023-04-23";"654.1633";"57.94";"0.36";"4182.11";"154.3";"1129.0285";"11909.86";"20022.66"
"C";"2023-04-22";"650.1344";"57.58";"0.33";"3870.72";"171.5";"1129.0285";"11909.96";"20022.38"
"C";"2023-04-21";"646.4475";"57.26";"0.21";"2639.3";"286";"1129.0285";"11910.04";"20022.18"
"C";"2023-04-20";"644.093";"57.1";"0.15";"2309.2";"624.8";"1127.9585";"11910.07";"19997.58"
"C";"2023-04-19";"642.4117";"56.95";"0.17";"2713.66";"587.2";"1127.9585";"11901.17";"19965.21"
"C";"2023-04-18";"640.523";"56.79";"0.14";"2017.56";"484.3";"1127.9585";"11910.22";"19997.21"
"C";"2023-04-17";"638.9929";"56.65";"0.12";"1906.99";"593.3";"1127.9585";"11910.26";"19997.1"
"C";"2023-04-16";"637.6789";"56.53";"0.21";"2561.91";"376.8";"1127.9585";"11910.33";"19996.9"
"E";"2023-04-15";"635.2792";"56.32";"0.17";"2268.97";"369.8";"1127.9585";"11910.44";"19996.61"
"C";"2023-04-14";"633.39";"56.21";"0";"1625.79";"695.9";"1126.8579";"11910.49";"19996.5"
"C";"2023-04-13";"633.3855";"56.21";"0.08";"1321.6";"1375.7";"1126.8579";"11910.4";"19996.72"
"C";"2023-04-12";"632.5212";"56.13";"0.08";"1713.4";"798.3";"1126.8579";"11901.49";"19964.36"
"C";"2023-04-11";"631.6249";"56.05";"0.14";"1946.16";"419";"1126.8579";"11908.11";"19992.08"
"C";"2023-04-10";"630.0833";"55.92";"0.21";"2686.1";"311.2";"1126.8579";"11908.18";"20084.38"
"C";"2023-04-09";"627.7175";"55.71";"0.18";"2504.71";"397.6";"1126.8579";"11908.26";"20084.19"
"C";"2023-04-08";"625.6381";"55.52";"0.11";"1947.51";"667.4";"1126.8579";"11908.31";"20084.04"
"C";"2023-04-07";"624.3902";"55.41";"0.02";"1326.89";"1036.1";"1126.8579";"11908.37";"20083.89"
"C";"2023-04-06";"624.1149";"55.48";"-0.08";"691.75";"1548.5";"1124.8579";"11908.37";"20083.9"
"C";"2023-04-05";"624.9899";"55.56";"-0.12";"784.89";"2083.7";"1124.8579";"11899.35";"20051.82"
"C";"2023-04-04";"626.3315";"55.69";"-0.12";"728.14";"2179.9";"1124.7109";"11906.66";"20051.07"
"E";"2023-04-03";"627.7306";"55.81";"-0.08";"777.96";"1565.1";"1124.7109";"11906.66";"20051.07"
"E";"2023-04-02";"628.5865";"55.88";"0.05";"1323.88";"784.1";"1124.8219";"11888.75";"20075.84"
"E";"2023-04-01";"627.9931";"55.82";"0.02";"2108.76";"436.8";"1124.9783";"11890.1";"20077.58"
"C";"2023-03-31";"627.8241";"55.8";"0.21";"1502.49";"1134.3";"1125.2066";"11840.73";"20071.9"
"C";"2023-03-30";"625.4537";"55.61";"0.04";"1422.59";"963.4";"1124.7179";"11840.03";"20069.86"
"C";"2023-03-29";"625.012";"55.57";"-0.08";"668.99";"1603.6";"1124.7179";"11831.05";"20037.65"
"C";"2023-03-28";"625.8618";"55.65";"-0.21";"456.6";"2772";"1124.6164";"11823.2";"20062.18"
"E";"2023-03-27";"628.2532";"55.86";"-0.14";"603.86";"2095.1";"1124.7179";"11828.89";"20070.7"
"E";"2023-03-26";"629.8029";"56";"0.07";"1615.73";"813";"1124.7179";"11825.78";"20066.06"
"E";"2023-03-25";"628.9689";"55.99";"0.13";"2094.14";"646.8";"1123.2643";"11706.43";"19868.26"
"C";"2023-03-24";"627.5113";"55.79";"0.13";"2092.05";"764.7";"1124.7179";"11828.52";"20067.88"
"C";"2023-03-23";"626.0067";"55.66";"0.06";"1650.36";"1059.6";"1124.7179";"11817.11";"20023.23"
"C";"2023-03-22";"625.2916";"55.6";"0.03";"1438.86";"1169.8";"1124.7179";"11809.22";"19994.38"
"C";"2023-03-21";"624.9643";"55.57";"-0.04";"796.41";"1277";"1124.7179";"11830.28";"20069.19"
"C";"2023-03-20";"625.445";"55.61";"-0.12";"481.17";"1760.5";"1124.7179";"11830.37";"20088.45"
